field,accepted,missing,wrong,n_pairs,agent
collision_energy,1.0,0.0,0.0,9,TechnicalAgent
reduction_reagent,1.0,0.0,0.0,90,TechnicalAgent
strain,1.0,0.0,0.0,45,BiologicalAgent
species,0.9794238683127572,0.0,0.0205761316872428,243,BiologicalAgent
instrument,0.9090909090909091,0.0,0.09090909090909091,99,TechnicalAgent
label,0.9047619047619048,0.0,0.09523809523809523,189,TechnicalAgent
cleavage_agent,0.8758169934640523,0.11764705882352941,0.006535947712418301,153,TechnicalAgent
disease,0.8686868686868687,0.0,0.13131313131313133,99,BiologicalAgent
organ,0.7481481481481481,0.0,0.2518518518518518,135,BiologicalAgent
replicates,0.7444444444444445,0.005555555555555556,0.25,180,ExperimentalDesignAgent
cell_line,0.6944444444444444,0.0,0.3055555555555556,72,BiologicalAgent
number_of_samples,0.6333333333333333,0.08888888888888889,0.2777777777777778,90,ExperimentalDesignAgent
cell_type,0.4603174603174603,0.0,0.5396825396825397,63,BiologicalAgent
technical_replicates,0.4444444444444444,0.0,0.5555555555555556,27,ExperimentalDesignAgent
fractions,0.2345679012345679,0.0,0.7654320987654321,81,ExperimentalDesignAgent
factor_value,0.0,0.027777777777777776,0.9722222222222222,36,ExperimentalDesignAgent
