field,golden_s,llm_s,n,lin
replicates,2,1,19,
replicates,3,1,16,
cell_line,desulfuromonas acetexigens,unknown,9,
cell_type,brain; brown adipose tissue; heart; kidney; l,unknown,9,0.0
organ,alveoli; blood vessels,lung,9,
number_of_samples,2,6,9,
disease,degenerative disc disease,normal,9,
fractions,8,96,9,
fractions,13,12,9,
fractions,1,4,9,
fractions,60,5,9,
fractions,3,1,9,
label,run 1; run 2; run 3; run 4; run 5; run 6; run,label-free,9,0.3373715160700632
label,lys8/arg10 (heavy); lys4/arg6 (medium); light,silac,9,0.0955858436391993
technical_replicates,6,3,9,
organ,mitochondrial mitoribosomes,unknown,9,0.0
instrument,1; 2; 3; 4,orbitrap fusion tribrid,8,0.000315760080068
cell_line,saccharomyces cerevisiae by4742,unknown,8,
fractions,1,6,8,
factor_value,brain; brown adipose tissue; heart; kidney; l,tissue type,8,
number_of_samples,6,12,8,
factor_value,breast cancer (bc); control,spiculated vs nonspiculated,7,
cell_type,plant cell,unknown,7,0.0
fractions,13,1,7,
cell_type,diplonema papillatum,unknown,7,
cell_type,yeast,unknown,7,0.0
organ,whole seedlings,unknown,6,0.0
cell_line,hff-1,unknown,5,0.0
organ,pancreas; islet,cervix,4,0.0
number_of_samples,9,3,4,
factor_value,ac=ms:1001251,pregnancy status,4,
factor_value,ac=ms:1001251,pregnant vs virgin,4,
factor_value,liver180802-t0t6_hph_1; liver180802-t0t6_hph_,treatment,3,
factor_value,liver180802-t0t6_hph_1; liver180802-t0t6_hph_,infection time,3,
disease,healthy control; type 1 diabetes,normal,3,0.0556676303897031
replicates,1,6,3,
technical_replicates,3,no technical replicates are mentioned for the,3,
species,dermatophagoides pteronyssinus; dermatophagoi,homo sapiens,3,0.5
replicates,2,3,3,
technical_replicates,3,1,2,
cell_type,plant cell,nuclei,2,0.2838522629917641
species,dermatophagoides pteronyssinus; dermatophagoi,unknown,2,0.0
replicates,3,5,2,
organ,brain; brown adipose tissue; heart; kidney; l,multiple tissues,2,0.1060002809719742
cleavage_agent,trypsin,lys-c,1,0.5962798510971538
disease,healthy control; type 1 diabetes,cervical adenocarcinoma,1,0.1252697582545727
cell_type,diplonema papillatum,protist cell,1,
cell_type,diplonema papillatum,protist,1,
factor_value,liver180802-t0t6_hph_1; liver180802-t0t6_hph_,"time, treatment",1,
factor_value,liver180802-t0t6_hph_1; liver180802-t0t6_hph_,antibiotics and corticosteroids,1,
factor_value,brain; brown adipose tissue; heart; kidney; l,tissue,1,
factor_value,breast cancer (bc); control,er status,1,
fractions,13,inferred: the resulting peptides fractionated,1,
fractions,13,the resulting peptides fractionated via stron,1,
factor_value,breast cancer (bc); control,"spiculated vs nonspiculated, er status",1,
factor_value,liver180802-t0t6_hph_1; liver180802-t0t6_hph_,treatment and time,1,
number_of_samples,10,5,1,
instrument,1; 2; 3; 4,orbitrap fusion tribrid mass spectrometer,1,0.0003382729301403
number_of_samples,16,26,1,
number_of_samples,6,20,1,
organ,serum,placenta,1,0.048106491437844
organ,liver; lungs; spleen; plasma,multi-tissue,1,0.0999240980376422
number_of_samples,9,6,1,
organ,thoracic aorta; brain (cerebrum); gastrocnemi,multiple tissues,1,0.1803144163979736
replicates,2,the text does not specify the number of biolo,1,
organ,thoracic aorta; brain (cerebrum); gastrocnemi,multi-tissue,1,0.1803144163979736
replicates,8 per group,13,1,
technical_replicates,3,no specific technical replicate count or meth,1,
