model,model_dir,arm,BiologicalAgent_precision_mean,BiologicalAgent_precision_std,BiologicalAgent_recall_mean,BiologicalAgent_recall_std,BiologicalAgent_f1_mean,BiologicalAgent_f1_std,TechnicalAgent_precision_mean,TechnicalAgent_precision_std,TechnicalAgent_recall_mean,TechnicalAgent_recall_std,TechnicalAgent_f1_mean,TechnicalAgent_f1_std,ExperimentalDesignAgent_precision_mean,ExperimentalDesignAgent_precision_std,ExperimentalDesignAgent_recall_mean,ExperimentalDesignAgent_recall_std,ExperimentalDesignAgent_f1_mean,ExperimentalDesignAgent_f1_std,overall_precision_mean,overall_precision_std,overall_recall_mean,overall_recall_std,overall_f1_mean,overall_f1_std,n_replicates,lin_overall_mean,lin_overall_std,lin_BiologicalAgent_mean,lin_BiologicalAgent_std,lin_TechnicalAgent_mean,lin_TechnicalAgent_std,n_pairs_per_replicate,non_unknown_fields_mean,non_unknown_fields_sd_across_replicates,slots,unanimity_all_slots,unanimity_informative_slots,n_informative_slots
GLM-4.7,glm4_7,S0,1.0,0.0,0.2237442922374429,0.0617705445592177,0.3629040045375071,0.0822790542325936,0.9791666666666666,0.0360843918243515,0.2333333333333333,0.0288675134594812,0.3760233918128655,0.0370642149181071,0.5238095238095238,0.108169682777148,0.0652173913043478,0.0217391304347826,0.115673942532988,0.0362962571812823,0.8343253968253967,0.03337759249898,0.1740983389583747,0.0362961325118924,0.2848671129611202,0.0501545085767787,3,0.21999519504432244,0.05203581244810025,0.23407919724887452,0.06349646440162092,0.20361176390841496,0.03948238575391045,106.0,9.375,1.27212922189597,43,0.5116279069767442,0.5116279069767442,43
GLM-4.7,glm4_7,S1,0.9583333333333334,0.0090210979560879,0.8401826484018264,0.0079089077971181,0.8953771289537714,0.0084284710830602,0.9107402031930332,0.0119408437386823,0.7944444444444444,0.0192450089729875,0.8486093552465235,0.0161490198556517,0.7412280701754387,0.0075967140682846,0.3115942028985507,0.0125510928084701,0.4386946386946386,0.0137272091975155,0.8701005355672683,0.0095195519210182,0.6487404319149405,0.0132350031928585,0.7275603742983111,0.0127682333787424,3,0.6809324501621989,0.0020781832751597465,0.7412548563301523,0.011049758702288226,0.6107614878851918,0.010406681380642324,106.0,13.022222222222222,0.15396007178389964,960,0.953125,0.8880597014925373,402
GLM-4.7,glm4_7,S2,0.9210482804232804,0.0007159601552451,0.7990867579908675,0.0079089077971181,0.8557320738514383,0.0048339760623433,0.9482758620689656,0.0,0.9166666666666666,0.0,0.9322033898305084,0.0,0.5333333333333333,0.0,0.5217391304347826,0.0,0.5274725274725275,0.0,0.8008858252751931,0.0002386533850816,0.745830851697439,0.0026363025990394,0.7718026637181582,0.0016113253541145,3,0.799585775028818,0.0018056503779992062,0.7339211908198419,0.0033578761415424077,0.8759711076800761,0.0,106.0,20.81111111111111,0.08388704928078487,960,0.9291666666666667,0.8918918918918919,629
GLM-4.7,glm4_7,S3,0.92146164021164,0.0007159601552451,0.8036529680365296,0.0079089077971182,0.8585229712322885,0.0048339760623433,0.9482758620689656,0.0,0.9166666666666666,0.0,0.9322033898305084,0.0,0.5333333333333333,0.0222222222222222,0.5217391304347826,0.0217391304347825,0.5274725274725275,0.021978021978022,0.801023611871313,0.0076150222780859,0.7473529217126597,0.0096202155319444,0.7727329628451082,0.008758589349648,3,0.7940439884372456,0.004886817655503119,0.7341308504071432,0.0031918366055594155,0.8637388632885892,0.010791830914854444,106.0,20.833333333333332,0.12018504251546687,960,0.9239583333333333,0.8850393700787401,635
GLM-4.7,glm4_7,S4,0.931960978835979,0.008748787018949,0.8127853881278538,0.0079089077971181,0.868291112065264,0.007320549640029,0.9482758620689656,0.0,0.9166666666666666,0.0,0.9322033898305084,0.0,0.5555555555555556,0.0,0.5434782608695652,0.0,0.5494505494505495,0.0,0.8119307988201667,0.0029162623396496,0.7576434385546952,0.0026363025990394,0.7833150171154406,0.0024401832133429,3,0.7989963897661064,0.0019397532320503108,0.7433405791941476,0.012862946371085966,0.8637388632885892,0.010791830914854444,106.0,20.91111111111111,0.15030832509409686,960,0.9260416666666667,0.8885400313971743,637
GLM-4.7,glm4_7,S5,0.8082191780821918,0.0136986301369862,0.8082191780821918,0.0136986301369862,0.8082191780821918,0.0136986301369863,0.9482758620689656,0.0,0.9166666666666666,0.0,0.9322033898305084,0.0,0.5515297906602253,0.0232905025594391,0.5434782608695652,0.0217391304347825,0.5474597865902213,0.0222468618093563,0.769341610270461,0.0098266733784834,0.7561213685394744,0.0103173993655605,0.762627451500974,0.0100101723254774,3,0.7968553083084028,0.006829377597912104,0.7393589189394708,0.007883477462771639,0.8637388632885892,0.010791830914854444,106.0,20.955555555555556,0.15752718754175407,960,0.921875,0.8826291079812206,639
Gemma 4 31B,gemma4_31b,S0,0.9656953117256418,0.0178610340225047,0.776255707762557,0.0316356311884726,0.8605791868949764,0.0260267100924201,0.957905982905983,0.0284974171330776,0.6277777777777778,0.0096225044864937,0.7584511784511783,0.0159791892684804,0.6230936819172114,0.0593056975547546,0.2391304347826086,0.0217391304347826,0.3455687830687831,0.0314083812947098,0.8488983255162786,0.0127136179720737,0.5477213067743145,0.0083087603136793,0.6548663828049793,0.0073967757125092,3,0.6436572262912024,0.03906211656217966,0.7436058601740418,0.0706625957061294,0.5273904481009607,0.00230861673617458,106.0,9.355555555555556,0.3024590575292488,228,0.4605263157894737,0.4605263157894737,228
Gemma 4 31B,gemma4_31b,S1,0.9292929292929294,0.008747731351358,0.8401826484018264,0.0079089077971181,0.8824940047961632,0.0083071981178362,0.9433962264150942,0.0,0.8333333333333334,0.0,0.8849557522123894,0.0,0.521505376344086,0.0246375037363217,0.3478260869565217,0.0217391304347825,0.4172932330827067,0.0234575272944596,0.7980648440173699,0.0081790357708913,0.6737806895638938,0.0077110354874888,0.728247663363753,0.0081286723338892,3,0.7137054148138597,0.00991841223190621,0.7973211335491442,0.011793928847711957,0.6164381501626107,0.009527631444884289,106.0,16.72222222222222,0.09622504486493626,960,0.8427083333333333,0.7096153846153846,520
Gemma 4 31B,gemma4_31b,S2,0.9536057692307692,0.000416358367204,0.8447488584474886,0.0079089077971181,0.8958707993934908,0.0046417666834245,0.9482758620689656,0.0,0.9166666666666666,0.0,0.9322033898305084,0.0,0.5555555555555556,0.0,0.5434782608695652,0.0,0.5494505494505495,0.0,0.8191457289517635,0.0001387861224013,0.76829792866124,0.0026363025990393,0.7925082462248495,0.0015472555611414,3,0.8398361098289321,0.009681493794772664,0.8122380335905244,0.011298582470962645,0.8719399944327941,0.010813814908301191,106.0,20.4,0.20275875100994054,960,0.8677083333333333,0.7971246006389776,626
Gemma 4 31B,gemma4_31b,S3,0.9533653846153848,0.000416358367204,0.8401826484018264,0.0079089077971181,0.8931908741493001,0.0046417666834245,0.9482758620689656,0.0,0.9166666666666666,0.0,0.9322033898305084,0.0,0.5555555555555556,0.0,0.5434782608695652,0.0,0.5494505494505495,0.0,0.8190656007466353,0.0001387861224013,0.7667758586460195,0.0026363025990393,0.7916149378101194,0.0015472555611414,3,0.8359341018702535,0.015404944212686077,0.8061274435446245,0.012279495734167034,0.8706071533919039,0.023561331355346403,106.0,20.377777777777776,0.06938886664887056,960,0.8854166666666666,0.8234349919743178,623
