model,model_dir,arm,lin_overall_mean,lin_overall_std,lin_BiologicalAgent_mean,lin_BiologicalAgent_std,lin_TechnicalAgent_mean,lin_TechnicalAgent_std,n_pairs_per_replicate
GLM-4.7,glm4_7,S0,0.21999519504432244,0.05203581244810025,0.23407919724887452,0.06349646440162092,0.20361176390841496,0.03948238575391045,106.0
GLM-4.7,glm4_7,S1,0.6809324501621989,0.0020781832751597465,0.7412548563301523,0.011049758702288226,0.6107614878851918,0.010406681380642324,106.0
GLM-4.7,glm4_7,S2,0.799585775028818,0.0018056503779992062,0.7339211908198419,0.0033578761415424077,0.8759711076800761,0.0,106.0
GLM-4.7,glm4_7,S3,0.7940439884372456,0.004886817655503119,0.7341308504071432,0.0031918366055594155,0.8637388632885892,0.010791830914854444,106.0
GLM-4.7,glm4_7,S4,0.7989963897661064,0.0019397532320503108,0.7433405791941476,0.012862946371085966,0.8637388632885892,0.010791830914854444,106.0
GLM-4.7,glm4_7,S5,0.7968553083084028,0.006829377597912104,0.7393589189394708,0.007883477462771639,0.8637388632885892,0.010791830914854444,106.0
Gemma 4 31B,gemma4_31b,S0,0.6436572262912024,0.03906211656217966,0.7436058601740418,0.0706625957061294,0.5273904481009607,0.00230861673617458,106.0
Gemma 4 31B,gemma4_31b,S1,0.7137054148138597,0.00991841223190621,0.7973211335491442,0.011793928847711957,0.6164381501626107,0.009527631444884289,106.0
Gemma 4 31B,gemma4_31b,S2,0.8398361098289321,0.009681493794772664,0.8122380335905244,0.011298582470962645,0.8719399944327941,0.010813814908301191,106.0
Gemma 4 31B,gemma4_31b,S3,0.8359341018702535,0.015404944212686077,0.8061274435446245,0.012279495734167034,0.8706071533919039,0.023561331355346403,106.0
Gemma 4 31B,gemma4_31b,S4,0.836417067093364,0.004856026846002303,0.8105782982508654,0.009857570308723822,0.8664744104407602,0.002308681043277041,106.0
Gemma 4 31B,gemma4_31b,S5,0.8317621055331873,0.01191070226846547,0.8116090548286204,0.011298582470962725,0.8552054502303363,0.01263132905897413,106.0
Qwen3.8-27B,qwen3_8_27b,S0,0.4585969789332324,0.02679351205469691,0.5538893650594657,0.08605031947559676,0.3477466522149611,0.04338825636362531,106.0
Qwen3.8-27B,qwen3_8_27b,S1,0.6941970857805306,0.0038734853675176087,0.7877357565038371,0.021697642938400128,0.5853867953472968,0.020636324164555367,106.0
Qwen3.8-27B,qwen3_8_27b,S2,0.8418706078186254,0.02582932801587315,0.8211478199490861,0.03252370057111436,0.8659767079933959,0.019096138676855227,106.0
Qwen3.8-27B,qwen3_8_27b,S3,0.8380359667217926,0.008126669377610434,0.8188957904504481,0.023352147236959546,0.860301069731316,0.009740480647234862,106.0
Qwen3.8-27B,qwen3_8_27b,S4,0.8414218419283586,0.013438710707880061,0.8204704572216895,0.01416189049100042,0.8657938608728514,0.023634366317613408,106.0
Qwen3.8-27B,qwen3_8_27b,S5,0.8285857773849452,0.029303966073836358,0.7967171794638507,0.04388949700605337,0.8656574117013206,0.01233818041674904,106.0
