agent,pxd_id,field,golden,llm,match_type,score,replicate,model,model_dir,arm,lin
BiologicalAgent,PXD001856,species,human (Homo sapiens),,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD002619,species,Homo sapiens,Human,SEMANTIC,0.8253394365310669,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD002619,organ,breast cancer cell,tumour,NO_MATCH,0.473658949136734,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD002619,disease,breast cancer,breast cancer; breast tumour,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD005982,species,Oryza sativa L.,Oryza sativa L.; Nipponbare,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD005982,organ,pistil; seed,pistils; seeds,SEMANTIC,0.936498,1,Qwen3.8-27B,qwen3_8_27b,S0,0.6600112093200834
BiologicalAgent,PXD006847,species,Homo sapiens,Nanodroplet processing platform for deep and quantitative proteome profiling of 10–100 mammalian cells,NO_MATCH,0.2786364555358886,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD006847,organ,pancreas; islet,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD006847,cell_type,cultured cells,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD006847,cell_line,HeLa,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD006847,disease,Healthy control; Type 1 diabetes,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD012439,species,Riftia pachyptila,Host-Microbe Interactions in the Chemosynthetic Riftia pachyptila Symbiosis; Riftia pachyptila Symbiosis; Riftia pachyptila; Riftia; Riftia specimens were collected; Riftia1; Riftia2; Tevnia; human; Drosophila; host,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD012439,organ,trophosome; vestimentum; plume,lamellae; tentacular crown; trophosome; body wall; vestimental; vestimentum; plume; trophosomes; hair; Riftia,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD013543,species,Rattus norvegicus,rats; Wistar; Rattus norvegicus,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD013543,organ,left ventricle,Heart; left ventricle; epididymal; retroperitoneal; visceral fat; atria; left and right ventricle; tibia; LV; myocyte; interstitial collagen; Perivascular; mitral valve; papillary muscles; aortic valve; left atrium; aorta; mitral annulus; mitral; myocardial; papillary muscle; IPM; muscle,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD013543,disease,obesity,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD013809,species,Homo sapiens,Homo sapiens,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD013809,cell_line,HeLa,HeLa; THP-1,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD014762,species,Homo sapiens,human,SEMANTIC,0.8253394365310669,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD014762,organ,alveoli; blood vessels,lung alveoli; lung blood vessels; lung; tissues; alveoli; vessels; blood,SEMANTIC,0.9644,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD014762,disease,Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis; IPF,NO_MATCH,0.93583,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD015272,cell_line,HeLa,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD015289,species,Homo sapiens,urine; prostate; homo sapiens,NORMALIZED,0.95,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD015289,organ,prostate,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD015289,disease,prostate cancer; benign prostatic hyperplasia (BPH); bladder cancer; renal cell carcinoma,prostate cancer; prostate disease; bladder and renal cancer; BPH; urothelial cancer of the bladder; renal cell carcinoma,SEMANTIC,0.927263,1,Qwen3.8-27B,qwen3_8_27b,S0,0.921802013875776
BiologicalAgent,PXD018830,species,Homo sapiens,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD018830,organ,Breast epithelium,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD018830,disease,Breast cancer (BC); Control,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD019394,species,Mus musculus,mouse,SEMANTIC,0.7748880386352539,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD019394,organ,brain; brown adipose tissue; heart; kidney; liver; lung; pancreas; spleen; testis,liver; brain; brown fat; heart; lung; kidney; pancreas; spleen; testis; tissue; tissues,EXACT,0.988889,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD019394,cell_type,brain; brown adipose tissue; heart; kidney; liver; lung; pancreas; spleen; testis,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD019394,disease,normal,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD021383,species,Dermatophagoides pteronyssinus; Dermatophagoides farinae; Suidasia medanensis; Cicer arietinum; Saccharomyces cerevisiae; Homo sapiens,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD022741,species,Saccharomyces cerevisiae,Saccharomyces cerevisiae,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD026287,species,Arabidopsis thaliana,Arabidopsis; WT,NO_MATCH,0.901981,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD026287,organ,whole seedlings,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD026287,cell_type,plant cell,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD028781,species,Toxoplasma gondii,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,
BiologicalAgent,PXD028781,cell_line,HFF-1,HFF-1,EXACT,1.0,1,Qwen3.8-27B,qwen3_8_27b,S0,1.0
BiologicalAgent,PXD029966,species,Homo sapiens; Mus musculus,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
BiologicalAgent,PXD029966,organ,serum,,NO_MATCH,0.0,1,Qwen3.8-27B,qwen3_8_27b,S0,0.0
