model,arm,n_replicates,fields_per_pxd_mean,fields_per_pxd_sd,repeat_unanimous_units,repeat_comparable_units,repeat_unanimous_agreement,unknown_rate_mean,unknown_rate_sd
qwen3_8_27b,S0,3,7.777777777777778,4.612581177453872,19,376,0.05053191489361702,0.7953216374269005,0.008786537544629625
qwen3_8_27b,S1,3,19.08888888888889,4.817208022660328,266,659,0.40364188163884673,0.4976608187134503,0.004831202234461508
qwen3_8_27b,S2,3,25.1,4.529677419871076,452,824,0.5485436893203883,0.3394736842105263,0.0008771929824561431
qwen3_8_27b,S3,3,24.8,4.762210798084568,464,816,0.5686274509803921,0.34736842105263155,0.0015193428136568827
qwen3_8_27b,S4,3,25.07777777777778,4.6765678805159725,450,810,0.5555555555555556,0.3400584795321637,0.0028197809242669547
qwen3_8_27b,S5,3,24.92222222222222,4.510232505473882,452,814,0.5552825552825553,0.3441520467836257,0.008150502844892608
gemma4_31b,S0,3,10.377777777777778,2.99279200663966,120,376,0.3191489361702128,0.7269005847953216,0.008873678892101465
gemma4_31b,S1,3,20.355555555555554,5.106310506741724,446,631,0.7068145800316957,0.464327485380117,0.004051580836418439
gemma4_31b,S2,3,24.322222222222223,4.514216688376067,614,742,0.8274932614555256,0.3599415204678363,0.0020257904182092194
gemma4_31b,S3,3,24.355555555555554,4.609007085816165,625,742,0.8423180592991913,0.35906432748538014,0.001826022806549245
gemma4_31b,S4,3,24.344444444444445,4.557155408610421,610,746,0.8176943699731903,0.3593567251461988,0.0030806005125300503
gemma4_31b,S5,3,24.211111111111112,4.597249897137319,604,737,0.819538670284939,0.3628654970760234,0.00365204561309849
glm4_7,S0,3,3.6222222222222222,5.414457919016824,25,187,0.13368983957219252,0.9046783625730994,0.016418590808615727
glm4_7,S1,3,15.733333333333333,4.948725860304796,417,489,0.852760736196319,0.5859649122807018,0.004019803241189285
glm4_7,S2,3,23.27777777777778,4.467178124890547,645,708,0.9110169491525424,0.3874269005847953,0.0026798688274595637
glm4_7,S3,3,23.344444444444445,4.467513475545683,641,716,0.8952513966480447,0.38567251461988306,0.004501404771444619
glm4_7,S4,3,23.477777777777778,4.620977516553114,645,718,0.8983286908077994,0.3821637426900585,0.004327090230101953
glm4_7,S5,3,23.455555555555556,4.589095798704565,643,717,0.8967921896792189,0.3827485380116959,0.005639561848533878
