model,arm,agent,field,n_replicates,unknown_rate_mean,unknown_rate_sd
qwen3_8_27b,S0,BiologicalAgent,BMI,3,0.9888888888888889,0.01924500897298752
qwen3_8_27b,S0,BiologicalAgent,age,3,0.7666666666666667,0.03333333333333338
qwen3_8_27b,S0,BiologicalAgent,anatomic_site_tumor,3,0.9888888888888889,0.01924500897298752
qwen3_8_27b,S0,BiologicalAgent,cell_line,3,0.7333333333333333,0.03333333333333338
qwen3_8_27b,S0,BiologicalAgent,cell_type,3,0.9,0.0
qwen3_8_27b,S0,BiologicalAgent,developmental_stage,3,0.9444444444444444,0.03849001794597504
qwen3_8_27b,S0,BiologicalAgent,disease_state,3,0.7666666666666667,0.05773502691896263
qwen3_8_27b,S0,BiologicalAgent,ethnicity,3,0.9888888888888889,0.01924500897298752
qwen3_8_27b,S0,BiologicalAgent,material_type,3,0.9666666666666667,0.033333333333333326
qwen3_8_27b,S0,BiologicalAgent,sample_source,3,0.9444444444444444,0.05091750772173154
qwen3_8_27b,S0,BiologicalAgent,sex,3,0.8555555555555556,0.03849001794597504
qwen3_8_27b,S0,BiologicalAgent,species,3,0.16666666666666666,0.12018504251546631
qwen3_8_27b,S0,BiologicalAgent,strain,3,0.5888888888888889,0.01924500897298752
qwen3_8_27b,S0,BiologicalAgent,tissue,3,0.5222222222222223,0.05091750772173154
qwen3_8_27b,S0,ExperimentalDesignAgent,biological_replicate,3,0.9333333333333333,0.033333333333333326
qwen3_8_27b,S0,ExperimentalDesignAgent,experimental_design,3,0.9555555555555556,0.03849001794597504
qwen3_8_27b,S0,ExperimentalDesignAgent,factor_value,3,0.9888888888888889,0.01924500897298752
qwen3_8_27b,S0,ExperimentalDesignAgent,number_of_biological_replicates,3,0.7888888888888889,0.1347150628109127
qwen3_8_27b,S0,ExperimentalDesignAgent,number_of_fractions,3,0.9333333333333333,0.05773502691896256
qwen3_8_27b,S0,ExperimentalDesignAgent,number_of_samples,3,0.9666666666666667,0.033333333333333326
qwen3_8_27b,S0,ExperimentalDesignAgent,number_of_technical_replicates,3,0.9444444444444444,0.01924500897298752
qwen3_8_27b,S0,ExperimentalDesignAgent,technical_replicate,3,0.9333333333333333,0.05773502691896256
qwen3_8_27b,S0,ExperimentalDesignAgent,technology_type,3,1.0,0.0
qwen3_8_27b,S0,TechnicalAgent,acquisition_method,3,0.7444444444444445,0.038490017945975105
qwen3_8_27b,S0,TechnicalAgent,alkylation_concentration,3,1.0,0.0
qwen3_8_27b,S0,TechnicalAgent,alkylation_reagent,3,0.6666666666666666,0.033333333333333326
qwen3_8_27b,S0,TechnicalAgent,cleavage_agent,3,0.3111111111111111,0.05091750772173154
qwen3_8_27b,S0,TechnicalAgent,collision_energy,3,0.6777777777777778,0.08388704928078615
qwen3_8_27b,S0,TechnicalAgent,enrichment_method,3,0.6777777777777777,0.05091750772173154
qwen3_8_27b,S0,TechnicalAgent,fractionation_method,3,0.9777777777777777,0.01924500897298752
qwen3_8_27b,S0,TechnicalAgent,fragmentation_method,3,0.5888888888888889,0.05091750772173154
qwen3_8_27b,S0,TechnicalAgent,instrument,3,0.2,0.0
qwen3_8_27b,S0,TechnicalAgent,ionization_type,3,0.8111111111111111,0.03849001794597504
qwen3_8_27b,S0,TechnicalAgent,labeling,3,0.9,0.033333333333333326
qwen3_8_27b,S0,TechnicalAgent,mass_analyzer,3,0.8555555555555556,0.05091750772173154
qwen3_8_27b,S0,TechnicalAgent,ptm,3,0.6444444444444444,0.06938886664887108
qwen3_8_27b,S0,TechnicalAgent,reduction_concentration,3,1.0,0.0
qwen3_8_27b,S0,TechnicalAgent,reduction_reagent,3,0.6,0.033333333333333326
qwen3_8_27b,S1,BiologicalAgent,BMI,3,0.9777777777777777,0.01924500897298752
qwen3_8_27b,S1,BiologicalAgent,age,3,0.7333333333333333,0.0
qwen3_8_27b,S1,BiologicalAgent,anatomic_site_tumor,3,0.8777777777777778,0.01924500897298752
qwen3_8_27b,S1,BiologicalAgent,cell_line,3,0.6555555555555556,0.01924500897298752
qwen3_8_27b,S1,BiologicalAgent,cell_type,3,0.4444444444444445,0.01924500897298752
qwen3_8_27b,S1,BiologicalAgent,developmental_stage,3,0.8444444444444444,0.06938886664887108
qwen3_8_27b,S1,BiologicalAgent,disease_state,3,0.5444444444444444,0.03849001794597504
qwen3_8_27b,S1,BiologicalAgent,ethnicity,3,1.0,0.0
qwen3_8_27b,S1,BiologicalAgent,material_type,3,0.1111111111111111,0.03849001794597505
qwen3_8_27b,S1,BiologicalAgent,sample_source,3,0.13333333333333333,0.057735026918962574
qwen3_8_27b,S1,BiologicalAgent,sex,3,0.6888888888888889,0.01924500897298752
qwen3_8_27b,S1,BiologicalAgent,species,3,0.022222222222222223,0.019245008972987525
qwen3_8_27b,S1,BiologicalAgent,strain,3,0.4666666666666667,0.0
qwen3_8_27b,S1,BiologicalAgent,tissue,3,0.34444444444444444,0.03849001794597504
