pxd	group_name	organism	organism_score	tissue	tissue_score	disease	disease_score	cell_part	cell_part_score	cell_line	cell_line_score	instrument	instrument_score	fragmentation	fragmentation_score	enzymes	enzymes_score	modifications	modifications_score	collision_energy	collision_energy_score	gradient_time_min	gradient_time_min_score	lc_column	lc_column_score	acquisition	acquisition_score	labeling	labeling_score	ionization	ionization_score	treatment_type	treatment_type_score	treatment_name	treatment_name_score	treatment_class	treatment_class_score	fractionation	enrichment
PXD000004	Human Brain Tissue	Homo sapiens	1.0	brain	1.0	healthy	1.0					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0							True; gel electrophoresis	synaptic microdomains; biochemical fractionation
PXD000013	Human and Pyrococcus furiosus proteomes	Homo sapiens	1.0	platelets	0.938							LTQ Orbitrap XL	0.973					C-carbamidomethylation	1.0									iTRAQ	1.0										
PXD000072	Platelet releasate	Homo sapiens	1.0	platelets	0.938	healthy	1.0	extracellular matrix	1.0			LTQ Orbitrap Velos	1.0	HCD; ETD	1.0; 1.0	trypsin	1.0	C-carbamidomethylation	1.0					SCX; reverse phase C18	1.0; 1.0	DDA	1.0			ESI	1.0					biologics	1.0	True; SCX	
PXD000089	Primary Tissue (CRC and Normal)	Homo sapiens	1.0			colorectal cancer; healthy	1.0; 1.0					LTQ Orbitrap Velos	1.0					C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					SCX	1.0			iTRAQ; label-free	1.0; 1.0									True; SCX	phosphorylation; Fe-IMAC
PXD000089	Cell Line (HCT116)	Homo sapiens	1.0			colorectal cancer	1.0			HCT-116	1.0	LTQ Orbitrap Velos	1.0					C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					SCX	1.0			iTRAQ	1.0									True; SCX	phosphorylation; Fe-IMAC
PXD000089	Cell Line (SW480/SW620 SILAC)	Homo sapiens	1.0			colorectal cancer	1.0			SW-480; SW-620	1.0; 1.0	LTQ Orbitrap Velos	1.0					C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					SCX	1.0			SILAC	1.0									True; SCX	phosphorylation; Fe-IMAC
PXD000138	Synthetic Peptide Library	Homo sapiens	1.0									LTQ Orbitrap Velos	1.0	HCD; ETD	1.0; 1.0	trypsin	1.0	M-oxidation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD000218	DLD-1 cells and mouse xenografts	Homo sapiens; Mus musculus	1.0; 1.0	colon	1.0	colorectal cancer	1.0			DLD-1	1.0	LTQ Orbitrap Velos	1.0			trypsin	1.0	C-carbamidomethylation	1.0							DDA	1.0	label-free	1.0							small molecule	1.0	True; TiO2	phosphorylation; TiO2
PXD000228	Human Platelet Lysate (Control, PAR1, PAR4)	Homo sapiens	1.0	blood; platelets	1.0; 0.971							LTQ Orbitrap Velos	1.0					C-carbamidomethylation; R-dimethylation	1.0; 1.0					SCX	1.0	DDA	1.0									biologics	1.0	True; SCX	phosphorylation; phosphopeptide enrichment
PXD000275	MCF7 SILAC Phosphoproteomics	Homo sapiens	1.0			breast cancer	1.0			MCF-7	1.0	LTQ Orbitrap Velos	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	nanoESI	0.712					small molecule	1.0	True; strong cation exchange	phosphorylation; TiO2 affinity chromatography
PXD000359	Primary human endothelial cells (HUVECs) on Matrigel and culture dish	Homo sapiens	1.0									LTQ Orbitrap XL; LTQ Velos	1.0; 1.0	CID; HCD	1.0; 1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	nanoESI	0.712								
PXD000396	HeLa cells	Homo sapiens	1.0	cervix	0.823	cervix carcinoma	0.92			HeLa	1.0	Q Exactive	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0			label-free	1.0	ESI	1.0							True; High-performance liquid chromatography	
