pxd	run	tissue	confidence
PXD000004	HSA	Brain	0.7028
PXD000004	HSA2	Brain	0.7097
PXD000004	HSA3	Brain	0.7074
PXD000004	HSB	Brain	0.6235
PXD000004	HSB3	Brain	0.8708
PXD000004	HSC	Brain	0.8296
PXD000004	HSC2	Brain	0.8306
PXD000004	HSC3	Brain	0.7727
PXD000004	HSD	Brain	0.7209
PXD000004	HSD3	Brain	0.8009
PXD000004	HSE	Brain	0.7416
PXD000004	HSE2	Brain	0.7372
PXD000004	HSE3	Brain	0.6734
PXD000412	R20120217_10_Z5_MAIR_calc	Salivary gland	0.3051
PXD000412	R20120217_11_Z6_MAIR_calc	Salivary gland	0.3086
PXD000412	R20120628_03_Z46_B61_repeat	Salivary gland	0.3118
PXD000426	V14710_PolyASN_test_361_Jurkat__31-05-2013_LMA0_fr6	Testis	0.3062
PXD000561	PXD000561-Sample 10	Liver	0.8416
PXD000561	PXD000561-Sample 11	Liver	0.7774
PXD000561	PXD000561-Sample 12	Lung	0.3852
PXD000561	PXD000561-Sample 13	Lung	0.3434
PXD000561	PXD000561-Sample 14	Placenta	0.5323
PXD000561	PXD000561-Sample 15	Brain	0.3387
PXD000561	PXD000561-Sample 19	Heart	0.4635
PXD000561	PXD000561-Sample 20	Heart	0.4555
PXD000561	PXD000561-Sample 21	Heart	0.4571
PXD000561	PXD000561-Sample 23	Liver	0.3448
PXD000561	PXD000561-Sample 24	Liver	0.3819
PXD000561	PXD000561-Sample 3	Esophagus	0.589
PXD000561	PXD000561-Sample 31	Monocytes	0.3383
PXD000561	PXD000561-Sample 32	Monocytes	0.3059
PXD000561	PXD000561-Sample 37	Esophagus	0.5441
PXD000561	PXD000561-Sample 38	Brain	0.7969
PXD000561	PXD000561-Sample 39	Heart	0.8516
PXD000561	PXD000561-Sample 4	Esophagus	0.4921
PXD000561	PXD000561-Sample 42	Monocytes	0.4004
PXD000561	PXD000561-Sample 49	Adrenal gland	0.5794
PXD000561	PXD000561-Sample 50	Colon	0.3877
PXD000561	PXD000561-Sample 51	Colon	0.3919
PXD000561	PXD000561-Sample 54	Heart	0.7023
PXD000561	PXD000561-Sample 55	Kidney	0.4816
PXD000561	PXD000561-Sample 58	Testis	0.8109
PXD000561	PXD000561-Sample 6	Heart	0.852
PXD000561	PXD000561-Sample 62	Prostate	0.4159
PXD000561	PXD000561-Sample 63	Colon	0.4433
PXD000561	PXD000561-Sample 66	Brain	0.5946
PXD000561	PXD000561-Sample 67	Brain	0.4413
PXD000561	PXD000561-Sample 68	Testis	0.8398
PXD000561	PXD000561-Sample 7	Heart	0.5768
PXD000561	PXD000561-Sample 73	Heart	0.5288
PXD000561	PXD000561-Sample 79	Placenta	0.6376
PXD000561	PXD000561-Sample 8	Kidney	0.8029
PXD000561	PXD000561-Sample 80	Brain	0.8987
PXD000561	PXD000561-Sample 81	Heart	0.7311
PXD000561	PXD000561-Sample 82	Liver	0.9157
PXD000561	PXD000561-Sample 83	Liver	0.8818
PXD000561	PXD000561-Sample 84	Colon	0.4039
PXD000561	PXD000561-Sample 85	Brain	0.843
PXD000561	PXD000561-Sample 9	Kidney	0.7077
PXD001249	20130404_QEx3_RSLC-4_Kreidl_Peters_IMP_insol_neg_contr_30per	Ovary	0.3179
PXD001415	PBMC_1_con_ne1b	B-cells	0.3147
PXD001417	PBMC_3_con_sn1a	Monocytes	0.302
PXD001417	PBMC_3_con_sn1b	Monocytes	0.3379
PXD001418	PBMC_1_stim_ne1a	B-cells	0.3837
PXD001418	PBMC_1_stim_ne1b	B-cells	0.3564
PXD001418	PBMC_2_stim_ne1a	B-cells	0.3417
PXD001418	PBMC_2_stim_ne1b	B-cells	0.3161
PXD001418	PBMC_3_stim_ne1a	B-cells	0.339
PXD001418	PBMC_3_stim_ne1b	B-cells	0.3415
PXD001420	PBMC_3_stim_sn1b	Monocytes	0.3827
PXD001421	PBMC_1_stim_dex_ne1b	B-cells	0.3986
PXD001421	PBMC_3_stim_dex_ne1a	B-cells	0.3271
PXD001421	PBMC_3_stim_dex_ne1b	B-cells	0.3274
PXD001423	PBMC_3_stim_dex_sn1a	Monocytes	0.3304
PXD001423	PBMC_3_stim_dex_sn1b	Monocytes	0.4115
PXD001674	OR6_20140218_PW_Neutrophil_subpop_rep1_fr13-15	Bone marrow	0.3213
PXD001674	OR6_20140218_PW_Neutrophil_subpop_rep2_fr7	Monocytes	0.3658
PXD001674	OR6_20140220_PW_Neutrophil_subpop_rep3_fr13-15	Bone marrow	0.3059
PXD001674	OR6_20140220_PW_Neutrophil_subpop_rep3_fr16-18	Bone marrow	0.3268
PXD001674	OR6_20140220_PW_Neutrophil_subpop_rep3_fr7	Monocytes	0.3625
PXD001674	OR6_20140220_PW_Neutrophil_subpop_rep3_fr9	Bone marrow	0.4017
PXD002145	00799_A04_P006409_S00_N25_R1	Prostate	0.3682
PXD002145	00799_D05_P006409_S00_N36_R1	Prostate	0.375
PXD002145	00799_G05_P006409_S00_N39_R1	Prostate	0.319
PXD002145	00799_H05_P006409_S00_N40_R1	Prostate	0.3887
PXD002145	00799_H06_P006409_S00_N48_R1	Prostate	0.3018
PXD002145	00800_B05_P006439_S00_N34_R1	Prostate	0.3227
PXD002145	00800_B06_P006439_S00_N42_R1	Prostate	0.3629
PXD002145	00800_C06_P006439_S00_N43_R1	Prostate	0.3622
PXD002145	00800_F05_P006439_S00_N38_R1	Prostate	0.327
PXD002145	00800_F06_P006439_S00_N46_R1	Prostate	0.3716
PXD002145	00800_G05_P006439_S00_N39_R1	Prostate	0.405
PXD002145	00800_G06_P006439_S00_N47_R1	Prostate	0.3403
PXD002145	00800_H05_P006439_S00_N40_R1	Prostate	0.386
PXD002145	00800_H06_P006439_S00_N48_R1	Prostate	0.3282
PXD002145	00801_A06_P006440_S00_N41_R1	Prostate	0.354
PXD002145	00801_C05_P006440_S00_N35_R1	Prostate	0.3214
PXD002145	00801_C06_P006440_S00_N43_R1	Salivary gland	0.3148
PXD002145	00801_E05_P006440_S00_N37_R1	Prostate	0.3568
PXD002145	00801_E06_P006440_S00_N45_R1	Prostate	0.3607
PXD002145	00801_G05_P006440_S00_N39_R1	Prostate	0.3583
PXD002145	00801_G06_P006440_S00_N47_R1	Prostate	0.3456
PXD002145	00801_H05_P006440_S00_N40_R1	Prostate	0.3899
PXD002145	00801_H06_P006440_S00_N48_R2	Prostate	0.3893
PXD002145	00809_B05_P006448_B00_N02_R1	Prostate	0.4192
PXD002145	00809_B09_P006449_B00_N02_R1	Prostate	0.3577
PXD002145	00809_C09_P006449_B00_N03_R1	Prostate	0.3445
PXD002145	00809_G02_P006447_B00_N15_R1	Prostate	0.4086
PXD002145	00881_E03_P006451_B00_N21_R1	Prostate	0.3646
PXD002145	00917_C04_P008028_B00_N27_R1	Prostate	0.3622
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_2m	Salivary gland	0.3037
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated2	Esophagus	0.3113
PXD003028	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated5	Esophagus	0.3091
PXD003534	DYO-HS_EXP9_A1	Monocytes	0.6803
PXD003534	DYO-HS_EXP9_A2	Monocytes	0.4953
PXD003534	DYO-HS_EXP9_A3	Monocytes	0.4352
PXD003534	DYO-HS_EXP9_A4	Monocytes	0.5745
PXD003534	DYO-HS_EXP9_A5	Monocytes	0.5323
PXD003534	DYO-HS_EXP9_A6	Monocytes	0.7094
PXD003534	DYO-HS_EXP9_A7	Monocytes	0.718
PXD003534	DYO-HS_EXP9_N1	Monocytes	0.579
PXD003534	DYO-HS_EXP9_N2	Monocytes	0.5276
PXD003534	DYO-HS_EXP9_N3	Monocytes	0.512
PXD003534	DY_HS_AD1	Monocytes	0.6364
PXD003534	DY_HS_AD2	Monocytes	0.5657
PXD003534	DY_HS_AD3	Monocytes	0.5138
PXD003534	DY_HS_AD4	Monocytes	0.5303
PXD003534	DY_HS_AD5	Monocytes	0.5352
PXD003534	DY_HS_AD6	Monocytes	0.545
PXD003534	DY_HS_AD7	Monocytes	0.5276
PXD003534	DY_HS_EXP15_A1	Monocytes	0.6081
PXD003534	DY_HS_EXP15_A2	Monocytes	0.3829
PXD003534	DY_HS_EXP15_A3	Monocytes	0.4544
PXD003534	DY_HS_EXP15_A4	Monocytes	0.5464
PXD003534	DY_HS_EXP15_N1	Monocytes	0.6029
PXD003534	DY_HS_EXP15_N5	Monocytes	0.4606
PXD003534	DY_HS_EXP15_N6	Monocytes	0.6012
PXD003534	DY_HS_EXP15_N7	Monocytes	0.3077
PXD003534	DY_HS_EXP6_A1	Monocytes	0.5232
PXD003534	DY_HS_EXP6_A2	Monocytes	0.5704
PXD003534	DY_HS_EXP6_N5	Monocytes	0.4459
PXD003534	DY_HS_EXP6_N6	Monocytes	0.6034
PXD003534	DY_HS_EXP6_N7	Monocytes	0.5628
PXD003534	DY_HS_Exp16-2_A1	Monocytes	0.5867
PXD003534	DY_HS_Exp16-2_A2	Monocytes	0.5536
PXD003534	DY_HS_Exp16-2_A3	Monocytes	0.5162
PXD003534	DY_HS_Exp16-2_A4	Monocytes	0.5282
PXD003534	DY_HS_Exp16-2_A5	Monocytes	0.5656
PXD003534	DY_HS_Exp16-2_A6	Monocytes	0.6955
PXD003534	DY_HS_Exp16-2_A7	Monocytes	0.6137
PXD003534	DY_HS_Exp16-2_A8	Monocytes	0.6412
PXD003534	DY_HS_Exp16-2_N1	Monocytes	0.5622
PXD003534	DY_HS_Exp16-2_N4	Monocytes	0.5207
PXD003534	DY_HS_Exp16-2_N5	Monocytes	0.6078
PXD003534	DY_HS_Exp16-2_N6	Monocytes	0.3844
PXD003534	DY_HS_Exp7-Ad1	Monocytes	0.5961
PXD003534	DY_HS_Exp7-Ad2	Monocytes	0.5268
PXD003534	DY_HS_Exp7-Ad3	Monocytes	0.4606
PXD003534	DY_HS_Exp7-Ad4	Monocytes	0.5132
PXD003534	DY_HS_Exp7-Ad5	Monocytes	0.556
PXD003534	DY_HS_Exp7-N1	Monocytes	0.5171
