HAMLET (Agent),MLMarker,Run Count,Tier,1D Graph Dist,1D Graph Sim,2D Spatial Dist,2D Spatial Sim,Lin Sim (IC),Lin Dist (1-S),WuPalmer Sim (Depth),Jaccard IC Sim,Jaccard Anc Sim,Resnik Norm Sim,MICA Label
brain,Brain,1568,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,brain
liver,Liver,569,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,liver
heart,Heart,503,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,heart
testis,Testis,156,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,testis
kidney,Kidney,148,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,kidney
blood,Monocytes,145,Near-Agreement,1.3452,0.4264,0.9501,0.5128,0.8311,0.1689,0.8182,0.1882,0.2703,0.802,basophilic cytoplasm
prostate,Prostate,124,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,prostate gland
skin,Ovary,119,Disagreement,1.589,0.3862,1.9595,0.3379,0.1359,0.8641,0.5714,0.0257,0.0959,0.0941,embryo
thyroid gland,Skeletal muscle,96,Disagreement,1.3783,0.4205,1.2717,0.4402,0.1483,0.8517,0.64,0.0415,0.1327,0.1009,basement membrane of epithelium
skeletal muscle,Skeletal muscle,70,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,skeletal muscle tissue
pleural fluid,Heart,67,Disagreement,2.1266,0.3198,2.3905,0.2949,0.1941,0.8059,0.6667,0.1161,0.2517,0.1141,dense mesenchyme tissue
placenta,Placenta,66,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,placenta
blood plasma; blood serum; cerebrospinal fluid; liver; monocytes; ovary; pancreas,Brain,58,Distant-Agreement,0.897,0.5271,0.0878,0.9193,0.5587,0.4413,0.5,0.0357,0.0745,0.3876,brain
small intestine,Small intestine,53,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,small intestine
skeletal muscle,Heart,53,Distant-Agreement,1.3515,0.4253,1.4056,0.4157,0.5275,0.4725,0.7619,0.1302,0.2569,0.4447,dense mesenchyme tissue
seminal plasma,Prostate,52,Near-Agreement,0.6368,0.6109,0.3446,0.7437,0.8594,0.1406,0.6667,0.1908,0.3153,0.7958,male reproductive gland
blood; brain; cerebrospinal fluid,Brain,50,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,brain
cerebrospinal fluid,Pituitary gland,49,Distant-Agreement,1.3754,0.421,0.6029,0.6239,0.4616,0.5384,1.0,0.1247,0.2907,0.4283,forebrain
colon,Colon,46,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,colon
cerebrospinal fluid,Brain,45,Distant-Agreement,0.897,0.5271,0.0878,0.9193,0.5587,0.4413,0.5,0.0357,0.0745,0.3876,brain
saliva,Salivary gland,42,Near-Agreement,0.3328,0.7503,0.2876,0.7766,0.9987,0.0013,1.0,0.4267,0.4918,0.9974,saliva
cortex of kidney,Kidney,36,Near-Agreement,0.5167,0.6593,0.4762,0.6774,0.8925,0.1075,1.0,0.9461,0.9747,0.8058,mesonephric tubule
urine,Prostate,33,Distant-Agreement,1.4132,0.4144,1.1388,0.4675,0.4179,0.5821,0.6154,0.1847,0.3443,0.3347,genitourinary system
sperm,Testis,31,Distant-Agreement,1.1881,0.457,0.8159,0.5507,0.6752,0.3248,0.8,0.1719,0.2581,0.6578,male reproductive system
brain; kidney,Brain,30,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,brain
blood plasma; blood serum; cerebrospinal fluid; liver; monocytes; ovary; pancreas,Liver,30,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,liver
skin,Brain,24,Distant-Agreement,1.6056,0.3838,1.2568,0.4431,0.3594,0.6406,0.6667,0.0342,0.0909,0.3579,organ system subdivision
blood plasma; brain,Brain,21,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,brain
sperm; testis,Prostate,21,Near-Agreement,0.909,0.5238,0.5282,0.6544,0.8594,0.1406,0.64,0.1908,0.3153,0.7958,male reproductive gland
tear fluid,Salivary gland,20,Distant-Agreement,1.3095,0.433,0.9418,0.515,0.4223,0.5777,0.6957,0.2193,0.4688,0.3596,mouth
urine,Kidney,18,Distant-Agreement,0.3152,0.7603,0.5149,0.6601,0.561,0.439,1.0,0.9442,0.9872,0.3899,mesonephric tubule
heart; kidney; liver; lung,Heart,16,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,heart
salivary gland; tonsil,Tonsil,16,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,tonsil
sperm,Prostate,15,Near-Agreement,0.909,0.5238,0.5282,0.6544,0.8594,0.1406,0.64,0.1908,0.3153,0.7958,male reproductive gland
blood plasma; blood serum; cerebrospinal fluid; liver; monocytes; ovary; pancreas,Monocytes,13,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,monocyte
blood; bone marrow,Bone marrow,13,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,bone marrow
heart; liver; skeletal muscle,Liver,12,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,liver
PBMCs,B-cells,10,Distant-Agreement,1.3019,0.4344,1.7862,0.3589,0.4865,0.5135,0.8,0.1454,0.1645,0.3849,hematopoietic lineage restricted progenitor cell
sperm; testis,Testis,10,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,testis
lung,Lung,9,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,lung
blood; fibroblast; skeletal muscle,Skeletal muscle,9,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,skeletal muscle tissue
stem cells,Brain,8,Disagreement,1.5735,0.3886,1.8905,0.346,0.2705,0.7295,0.2857,0.0232,0.0625,0.1687,cell
blood plasma; cerebrospinal fluid,Brain,8,Distant-Agreement,0.897,0.5271,0.0878,0.9193,0.5587,0.4413,0.5,0.0357,0.0745,0.3876,brain
esophagus,Esophagus,8,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,esophagus
brain,Heart,8,Disagreement,1.1953,0.4555,0.5246,0.6559,0.2443,0.7557,0.5714,0.0146,0.0427,0.2213,anatomical system
liver,Brain,7,Disagreement,1.1534,0.4644,1.0577,0.486,0.2174,0.7826,0.4211,0.0062,0.0302,0.1555,organ system subdivision
breast,Colon,6,Disagreement,1.7259,0.3669,1.4387,0.4101,0.1801,0.8199,0.625,0.0442,0.0964,0.1537,mesenchyme
kidney,Ovary,6,Near-Agreement,1.3217,0.4307,1.152,0.4647,0.7188,0.2812,1.0,0.0962,0.1069,0.6057,indifferent external genitalia
frontal cortex,Brain,5,Distant-Agreement,0.8879,0.5297,0.8757,0.5331,0.5849,0.4151,0.4211,0.1622,0.2059,0.4133,brain
PBMCs,Monocytes,5,Distant-Agreement,1.0206,0.4949,0.9409,0.5152,0.6016,0.3984,0.7826,0.2167,0.2941,0.4813,basophilic cytoplasm
stem cells,Skeletal muscle,5,Distant-Agreement,1.4078,0.4153,1.233,0.4478,0.3457,0.6543,0.4286,0.0148,0.0411,0.209,stem cell
neutrophil,Bone marrow,5,Distant-Agreement,1.6896,0.3718,1.2431,0.4458,0.4857,0.5143,0.5,0.0937,0.1707,0.3855,immune system
blood,B-cells,5,Distant-Agreement,1.6265,0.3807,1.5897,0.3861,0.6749,0.3251,0.8421,0.104,0.1333,0.6609,hematopoietic lineage restricted progenitor cell
spinal cord,Brain,4,Distant-Agreement,0.8762,0.533,0.229,0.8137,0.6868,0.3132,0.5333,0.1419,0.194,0.5462,central nervous system
stomach,Stomach,4,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,stomach
retina,Brain,4,Distant-Agreement,1.237,0.447,0.9648,0.509,0.4929,0.5071,0.4444,0.0226,0.0536,0.3807,nervous system
bronchoalveolar lavage fluid,Nasal Polyps,4,Disagreement,1.9746,0.3362,1.0353,0.4913,0.2224,0.7776,0.8889,0.0707,0.2143,0.1714,zone of organ
colon; rectum,Colon,4,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,colon
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Liver,4,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,liver
heart,Skeletal muscle,3,Distant-Agreement,1.3515,0.4253,1.4056,0.4157,0.5275,0.4725,0.7619,0.1302,0.2569,0.4447,dense mesenchyme tissue
colon; liver,Colon,3,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,colon
colon; ovary,Liver,3,Distant-Agreement,1.3346,0.4283,0.9794,0.5052,0.5749,0.4251,0.5455,0.0403,0.1015,0.5686,digestive system element
adipose tissue; adrenal gland; bone marrow; brain; colon; duodenum; esophagus; fallopian tube; gallbladder; heart; hypophysis; kidney; liver; lung; lymph node; ovary; pancreas; placenta; prostate; rectum; salivary gland; small intestine; smooth muscle; spleen; stomach; testis; thyroid gland; tonsil; urinary bladder; uterine endometrium; vermiform appendix,Colon,3,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,colon
monocytes,Monocytes,3,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,monocyte
blood; liver,Liver,3,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,liver
heart; kidney; liver; lung,Liver,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,liver
