source_file	source_shard	age	cell_line	cell_type	developmental_stage	disease_state	material_type	sample_source	sex	species	tissue	biological_confidence_overall	biological_confidence_evidence_score	biological_confidence_completeness	biological_confidence_format_score	biological_replicate	experimental_design	factor_value	number_of_biological_replicates	number_of_fractions	number_of_samples	number_of_technical_replicates	technical_replicate	technology_type	experimental_design_confidence_overall	experimental_design_confidence_evidence_score	experimental_design_confidence_completeness	experimental_design_confidence_format_score	acquisition_method	alkylation_concentration	alkylation_reagent	cleavage_agent	collision_energy	enrichment_method	fractionation_method	fragmentation_method	instrument	ionization_type	labeling	mass_analyzer	ptm	reduction_concentration	reduction_reagent	technical_confidence_overall	technical_confidence_evidence_score	technical_confidence_completeness	technical_confidence_format_score
PXD000004	shard_0	unknown	unknown	unknown	unknown	unknown	tissue	['brain tissue', 'postmortem brain tissue']	unknown	['Homo sapiens', 'Mus musculus']	brain	0.841	0.931	0.375	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	targeted proteomics	0.778	0.911	0.111	1.0	['selected reaction monitoring', 'Bottom-up proteomics']	unknown	iodoacetamide	unknown	unknown	unknown	unknown	unknown	Q Exactive	unknown	stable isotope-labeled neuronal proteome standard	Orbitrap	['monohydroxylated residue', '6x(13)C labeled residue', 'iodoacetamide derivatized residue']	unknown	unknown	0.886	0.972	0.5	1.0
PXD000445	shard_0	unknown	['HCEC', 'SW480', 'SW620', 'Caco2', 'HT29', 'CX1']	colon epithelial cell	unknown	['colorectal adenoma', 'normal', 'colorectal cancer']	['tissue', 'cell line']	['colonoscopy tissues', 'cell culture']	unknown	Homo sapiens	colon	0.898	0.917	0.696	1.0	unknown	case vs control	adenoma vs normal mucosa	30	unknown	60	unknown	unknown	Bottom-up proteomics	0.828	0.833	0.556	1.0	['DDA', 'Bottom-up proteomics']	unknown	unknown	trypsin	unknown	unknown	OFFGEL electrophoresis	unknown	LTQ Orbitrap Velos	ESI	iTRAQ	Orbitrap	"['monohydroxylated residue', 'iTRAQ8plex-116 reporter+balance reagent acylated residue', ""iTRAQ8plex-114 reporter+balance reagent O4'-acylated tyrosine"", 'methylthiolated residue', 'iTRAQ8plex-114 reporter+balance reagent N6-acylated lysine', 'iTRAQ8plex-114 reporter+balance reagent acylated N-terminal']"	unknown	unknown	0.898	0.929	0.667	1.0
PXD001000	shard_0	unknown	unknown	unknown	unknown	Breast cancer	unknown	unknown	unknown	['Homo sapiens', 'Mus musculus']	breast	0.85	0.993	0.267	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	['Shotgun proteomics', 'iTRAQ']	0.84	1.0	0.2	1.0	Shotgun proteomics	unknown	Carbamidomethyl	unknown	unknown	unknown	unknown	unknown	LTQ Orbitrap Velos	unknown	iTRAQ	Orbitrap	['Phospho', 'Deamidated', 'iTRAQ4plex', 'Carbamidomethyl', 'Oxidation']	unknown	unknown	0.903	0.995	0.526	1.0
PXD001326	shard_0	unknown	ZR-75-1	['primary human mammary fibroblasts', 'cancer-associated fibroblasts']	unknown	['breast adenocarcinoma', 'breast cancer']	['tissue', 'cell line', 'primary human cells']	['tumor biopsy sections', 'cell culture']	unknown	Homo sapiens	Breast	0.876	0.9	0.632	1.0	unknown	unknown	tumor-central vs tumor-near vs tumor-distant	unknown	unknown	3	unknown	unknown	shotgun proteomics	0.833	0.933	0.333	1.0	unknown	unknown	Carbamidomethyl	unknown	unknown	unknown	unknown	unknown	Q Exactive	unknown	Label-free	Orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl']	unknown	unknown	0.868	0.971	0.412	1.0
PXD001419	shard_0	unknown	unknown	['Peripheral blood mononuclear cell', 'peripheral blood mononuclear cells']	unknown	normal	primary cells	cell culture	unknown	Homo sapiens	Blood	0.84	0.893	0.467	1.0	unknown	treated vs control	inflammatory activation vs dexamethasone treatment	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.811	0.889	0.333	1.0	['Shotgun proteomics', 'targeted MRM']	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Q Exactive	unknown	label-free	Orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl']	unknown	unknown	0.861	0.944	0.444	1.0
PXD001524	shard_0	unknown	unknown	unknown	unknown	normal	tissue	cadaveric tissue	unknown	Homo sapiens	Testis	0.821	0.9	0.357	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.822	1.0	0.111	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	LTQ Orbitrap	unknown	label-free	Orbitrap	['Deamidated', 'Carbamidomethyl', 'Oxidation']	unknown	unknown	0.853	0.965	0.353	1.0
PXD001985	shard_0	adults	unknown	['Epithelial cell', 'Neutrophil', 'Leukocyte', 'T cell', 'Macrophage', 'Dendritic cell', 'B cell', 'Platelet', 'Fibroblast', 'Erythrocyte']	unknown	Cystic fibrosis	['biofluid', 'primary cells']	['sputum', 'healthy controls']	unknown	Homo sapiens	['lung', 'Sputum']	0.913	0.935	0.731	1.0	unknown	treated vs control	CF vs healthy	unknown	unknown	unknown	unknown	unknown	bottom-up proteomics	0.783	0.833	0.333	1.0	Shotgun proteomics	unknown	unknown	unknown	unknown	unknown	unknown	unknown	LTQ Orbitrap Velos	ESI	iTRAQ	Orbitrap	['Deamidated', 'iTRAQ8plex', 'Oxidation']	unknown	unknown	0.876	0.965	0.471	1.0
PXD002354	shard_0	unknown	unknown	fibroblast	unknown	normal	cell culture	human fibroblasts	unknown	Homo sapiens	unknown	0.825	0.907	0.357	1.0	3	treated vs control	ADAMTS2, ADAMTS3, ADAMTS14	3	unknown	3	unknown	unknown	Top-down proteomics	0.861	0.856	0.667	1.0	['unknown', 'Top-down proteomics']	unknown	iodoacetamide	unknown	unknown	unknown	unknown	unknown	['QSTAR', 'Q Exactive']	unknown	iTRAQ	Orbitrap	['monohydroxylated residue', 'deaminated residue', 'acetylated residue', 'iodoacetamide derivatized residue', 'deamidated residue', 'iTRAQ4plex-116 reporter+balance reagent acylated residue', 'dehydrated residue']	unknown	unknown	0.896	0.965	0.565	1.0
PXD002687	shard_0	unknown	HeLa	epithelial cell	unknown	cervical adenocarcinoma	cell line	cell culture	unknown	Homo sapiens	cervix	0.829	0.857	0.5	1.0	['5', '3', '4']	['dose response', 'treated vs control']	['inhibitor concentration', 'apoptosis vs normal growth']	['5', '3', '4']	unknown	unknown	unknown	unknown	['Shotgun proteomics', 'spike-in SILAC', 'SILAC']	0.882	0.859	0.765	1.0	DDA	100 mM iodoacetamide	iodoacetamide	trypsin	25	affinity	unknown	HCD	Q Exactive	nanoESI	['SILAC', 'label-free']	Orbitrap	['myristoylated residue', 'carbamidomethylation', 'oxidation']	100 mM DTT	DTT	0.875	0.772	0.944	1.0
PXD003053	shard_0	unknown	unknown	mammalian cell	unknown	normal	cell lysate	cell culture	unknown	['Homo sapiens', 'Homo sapiens']	unknown	0.843	0.927	0.4	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	shotgun proteomics	0.822	1.0	0.111	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Q Exactive	unknown	unknown	Orbitrap	Oxidation	unknown	unknown	0.823	0.967	0.2	1.0
