source_file	source_shard	age	cell_line	cell_type	developmental_stage	disease_state	material_type	sample_source	sex	species	tissue	biological_confidence_overall	biological_confidence_evidence_score	biological_confidence_completeness	biological_confidence_format_score	biological_replicate	experimental_design	factor_value	number_of_biological_replicates	number_of_fractions	number_of_samples	number_of_technical_replicates	technical_replicate	technology_type	experimental_design_confidence_overall	experimental_design_confidence_evidence_score	experimental_design_confidence_completeness	experimental_design_confidence_format_score	acquisition_method	alkylation_concentration	alkylation_reagent	cleavage_agent	collision_energy	enrichment_method	fractionation_method	fragmentation_method	instrument	ionization_type	labeling	mass_analyzer	ptm	reduction_concentration	reduction_reagent	technical_confidence_overall	technical_confidence_evidence_score	technical_confidence_completeness	technical_confidence_format_score
PXD000004	shard_0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'tissue', 'ontology_name': False}	[{'value': 'brain tissue', 'ontology_name': 'brain'}, {'value': 'postmortem brain tissue', 'ontology_name': False}]	{'value': 'unknown', 'ontology_name': False}	[{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}, {'value': 'Mus musculus', 'ontology_name': 'Mus musculus'}]	{'value': 'brain', 'ontology_name': 'brain'}	0.841	0.931	0.375	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'targeted proteomics', 'ontology_name': False}	0.778	0.911	0.111	1.0	[{'value': 'selected reaction monitoring', 'ontology_name': False}, {'value': 'Bottom-up proteomics', 'ontology_name': False}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'iodoacetamide', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'stable isotope-labeled neuronal proteome standard', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	[{'value': 'monohydroxylated residue', 'ontology_name': 'monohydroxylated residue'}, {'value': '6x(13)C labeled residue', 'ontology_name': '6x(13)C labeled residue'}, {'value': 'iodoacetamide derivatized residue', 'ontology_name': 'iodoacetamide derivatized residue'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.886	0.972	0.5	1.0
PXD000445	shard_0	{'value': 'unknown', 'ontology_name': False}	[{'value': 'HCEC', 'ontology_name': False}, {'value': 'SW480', 'ontology_name': 'SW480 cell'}, {'value': 'SW620', 'ontology_name': 'SW620 cell'}, {'value': 'Caco2', 'ontology_name': False}, {'value': 'HT29', 'ontology_name': 'HT29/219 cell'}, {'value': 'CX1', 'ontology_name': False}]	{'value': 'colon epithelial cell', 'ontology_name': 'colon epithelial cell'}	{'value': 'unknown', 'ontology_name': False}	[{'value': 'colorectal adenoma', 'ontology_name': 'colorectal adenoma'}, {'value': 'normal', 'ontology_name': 'normal'}, {'value': 'colorectal cancer', 'ontology_name': 'colorectal cancer'}]	[{'value': 'tissue', 'ontology_name': False}, {'value': 'cell line', 'ontology_name': False}]	[{'value': 'colonoscopy tissues', 'ontology_name': False}, {'value': 'cell culture', 'ontology_name': 'cell culture'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}	{'value': 'colon', 'ontology_name': 'colon'}	0.898	0.917	0.696	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'case vs control', 'ontology_name': False}	{'value': 'adenoma vs normal mucosa', 'ontology_name': False}	{'value': '30', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': '60', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Bottom-up proteomics', 'ontology_name': False}	0.828	0.833	0.556	1.0	[{'value': 'DDA', 'ontology_name': False}, {'value': 'Bottom-up proteomics', 'ontology_name': False}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'trypsin', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'OFFGEL electrophoresis', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'LTQ Orbitrap Velos', 'ontology_name': 'LTQ Orbitrap Velos'}	{'value': 'ESI', 'ontology_name': False}	{'value': 'iTRAQ', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	"[{'value': 'monohydroxylated residue', 'ontology_name': 'monohydroxylated residue'}, {'value': 'iTRAQ8plex-116 reporter+balance reagent acylated residue', 'ontology_name': 'iTRAQ8plex-116 reporter+balance reagent acylated residue'}, {'value': ""iTRAQ8plex-114 reporter+balance reagent O4'-acylated tyrosine"", 'ontology_name': ""iTRAQ8plex-114 reporter+balance reagent O4'-acylated tyrosine""}, {'value': 'methylthiolated residue', 'ontology_name': 'methylthiolated residue'}, {'value': 'iTRAQ8plex-114 reporter+balance reagent N6-acylated lysine', 'ontology_name': 'iTRAQ8plex-114 reporter+balance reagent N6-acylated lysine'}, {'value': 'iTRAQ8plex-114 reporter+balance reagent acylated N-terminal', 'ontology_name': 'iTRAQ8plex-114 reporter+balance reagent acylated N-terminal'}]"	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.898	0.929	0.667	1.0
PXD001000	shard_0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Breast cancer', 'ontology_name': 'breast cancer'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	[{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}, {'value': 'Mus musculus', 'ontology_name': 'Mus musculus'}]	{'value': 'breast', 'ontology_name': 'breast'}	0.85	0.993	0.267	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	[{'value': 'Shotgun proteomics', 'ontology_name': False}, {'value': 'iTRAQ', 'ontology_name': False}]	0.84	1.0	0.2	1.0	{'value': 'Shotgun proteomics', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Carbamidomethyl', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'LTQ Orbitrap Velos', 'ontology_name': 'LTQ Orbitrap Velos'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'iTRAQ', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	[{'value': 'Phospho', 'ontology_name': 'Phospho'}, {'value': 'Deamidated', 'ontology_name': 'Deamidated'}, {'value': 'iTRAQ4plex', 'ontology_name': 'iTRAQ4plex'}, {'value': 'Carbamidomethyl', 'ontology_name': 'Carbamidomethyl'}, {'value': 'Oxidation', 'ontology_name': 'Oxidation'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.903	0.995	0.526	1.0
PXD001326	shard_0	{'value': 'unknown', 'ontology_name': False}	{'value': 'ZR-75-1', 'ontology_name': 'ZR-75-1 cell'}	[{'value': 'primary human mammary fibroblasts', 'ontology_name': 'fibroblast of breast'}, {'value': 'cancer-associated fibroblasts', 'ontology_name': 'hair follicle associated fibroblast'}]	{'value': 'unknown', 'ontology_name': False}	[{'value': 'breast adenocarcinoma', 'ontology_name': 'breast adenocarcinoma'}, {'value': 'breast cancer', 'ontology_name': 'breast cancer'}]	[{'value': 'tissue', 'ontology_name': False}, {'value': 'cell line', 'ontology_name': False}, {'value': 'primary human cells', 'ontology_name': False}]	[{'value': 'tumor biopsy sections', 'ontology_name': False}, {'value': 'cell culture', 'ontology_name': 'cell culture'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}	{'value': 'Breast', 'ontology_name': 'breast'}	0.876	0.9	0.632	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'tumor-central vs tumor-near vs tumor-distant', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': '3', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'shotgun proteomics', 'ontology_name': False}	0.833	0.933	0.333	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Carbamidomethyl', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Label-free', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	[{'value': 'Carbamidomethyl', 'ontology_name': 'Carbamidomethyl'}, {'value': 'Oxidation', 'ontology_name': 'Oxidation'}, {'value': 'Acetyl', 'ontology_name': 'Acetyl'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.868	0.971	0.412	1.0
PXD001419	shard_0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	[{'value': 'Peripheral blood mononuclear cell', 'ontology_name': 'peripheral blood mononuclear cell'}, {'value': 'peripheral blood mononuclear cells', 'ontology_name': 'peripheral blood mononuclear cell'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'normal', 'ontology_name': 'normal'}	{'value': 'primary cells', 'ontology_name': False}	{'value': 'cell culture', 'ontology_name': 'cell culture'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}	{'value': 'Blood', 'ontology_name': 'blood'}	0.84	0.893	0.467	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'treated vs control', 'ontology_name': False}	{'value': 'inflammatory activation vs dexamethasone treatment', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Shotgun proteomics', 'ontology_name': False}	0.811	0.889	0.333	1.0	[{'value': 'Shotgun proteomics', 'ontology_name': False}, {'value': 'targeted MRM', 'ontology_name': False}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'label-free', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	[{'value': 'Carbamidomethyl', 'ontology_name': 'Carbamidomethyl'}, {'value': 'Oxidation', 'ontology_name': 'Oxidation'}, {'value': 'Acetyl', 'ontology_name': 'Acetyl'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.861	0.944	0.444	1.0
PXD001524	shard_0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'normal', 'ontology_name': 'normal'}	{'value': 'tissue', 'ontology_name': False}	{'value': 'cadaveric tissue', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}	{'value': 'Testis', 'ontology_name': 'testis'}	0.821	0.9	0.357	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Shotgun proteomics', 'ontology_name': False}	0.822	1.0	0.111	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'LTQ Orbitrap', 'ontology_name': 'LTQ Orbitrap'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'label-free', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	[{'value': 'Deamidated', 'ontology_name': 'Deamidated'}, {'value': 'Carbamidomethyl', 'ontology_name': 'Carbamidomethyl'}, {'value': 'Oxidation', 'ontology_name': 'Oxidation'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.853	0.965	0.353	1.0
PXD001985	shard_0	{'value': 'adults', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	[{'value': 'Epithelial cell', 'ontology_name': 'epithelial cell'}, {'value': 'Neutrophil', 'ontology_name': 'neutrophil'}, {'value': 'Leukocyte', 'ontology_name': 'leukocyte'}, {'value': 'T cell', 'ontology_name': 'T cell'}, {'value': 'Macrophage', 'ontology_name': 'macrophage'}, {'value': 'Dendritic cell', 'ontology_name': 'dendritic cell'}, {'value': 'B cell', 'ontology_name': 'B cell'}, {'value': 'Platelet', 'ontology_name': 'platelet'}, {'value': 'Fibroblast', 'ontology_name': 'fibroblast'}, {'value': 'Erythrocyte', 'ontology_name': 'erythrocyte'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'Cystic fibrosis', 'ontology_name': 'cystic fibrosis'}	[{'value': 'biofluid', 'ontology_name': False}, {'value': 'primary cells', 'ontology_name': False}]	[{'value': 'sputum', 'ontology_name': 'sputum'}, {'value': 'healthy controls', 'ontology_name': False}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}	[{'value': 'lung', 'ontology_name': 'lung'}, {'value': 'Sputum', 'ontology_name': 'sputum'}]	0.913	0.935	0.731	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'treated vs control', 'ontology_name': False}	{'value': 'CF vs healthy', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'bottom-up proteomics', 'ontology_name': False}	0.783	0.833	0.333	1.0	{'value': 'Shotgun proteomics', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'LTQ Orbitrap Velos', 'ontology_name': 'LTQ Orbitrap Velos'}	{'value': 'ESI', 'ontology_name': False}	{'value': 'iTRAQ', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	[{'value': 'Deamidated', 'ontology_name': 'Deamidated'}, {'value': 'iTRAQ8plex', 'ontology_name': 'iTRAQ8plex'}, {'value': 'Oxidation', 'ontology_name': 'Oxidation'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.876	0.965	0.471	1.0
PXD002354	shard_0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'fibroblast', 'ontology_name': 'fibroblast'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'normal', 'ontology_name': 'normal'}	{'value': 'cell culture', 'ontology_name': False}	{'value': 'human fibroblasts', 'ontology_name': 'fibroblast'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}	{'value': 'unknown', 'ontology_name': False}	0.825	0.907	0.357	1.0	{'value': '3', 'ontology_name': False}	{'value': 'treated vs control', 'ontology_name': False}	{'value': 'ADAMTS2, ADAMTS3, ADAMTS14', 'ontology_name': False}	{'value': '3', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': '3', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Top-down proteomics', 'ontology_name': False}	0.861	0.856	0.667	1.0	[{'value': 'unknown', 'ontology_name': False}, {'value': 'Top-down proteomics', 'ontology_name': False}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'iodoacetamide', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	[{'value': 'QSTAR', 'ontology_name': 'QSTAR'}, {'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'iTRAQ', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	[{'value': 'monohydroxylated residue', 'ontology_name': 'monohydroxylated residue'}, {'value': 'deaminated residue', 'ontology_name': 'deaminated residue'}, {'value': 'acetylated residue', 'ontology_name': 'acetylated residue'}, {'value': 'iodoacetamide derivatized residue', 'ontology_name': 'iodoacetamide derivatized residue'}, {'value': 'deamidated residue', 'ontology_name': 'deamidated residue'}, {'value': 'iTRAQ4plex-116 reporter+balance reagent acylated residue', 'ontology_name': 'iTRAQ4plex-116 reporter+balance reagent acylated residue'}, {'value': 'dehydrated residue', 'ontology_name': 'dehydrated residue'}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.896	0.965	0.565	1.0
PXD002687	shard_0	{'value': 'unknown', 'ontology_name': False}	{'value': 'HeLa', 'ontology_name': 'HeLa cell'}	{'value': 'epithelial cell', 'ontology_name': 'epithelial cell'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'cervical adenocarcinoma', 'ontology_name': 'cervical adenocarcinoma'}	{'value': 'cell line', 'ontology_name': False}	{'value': 'cell culture', 'ontology_name': 'cell culture'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}	{'value': 'cervix', 'ontology_name': False}	0.829	0.857	0.5	1.0	[{'value': '5', 'ontology_name': False}, {'value': '3', 'ontology_name': False}, {'value': '4', 'ontology_name': False}]	[{'value': 'dose response', 'ontology_name': False}, {'value': 'treated vs control', 'ontology_name': False}]	[{'value': 'inhibitor concentration', 'ontology_name': False}, {'value': 'apoptosis vs normal growth', 'ontology_name': False}]	[{'value': '5', 'ontology_name': False}, {'value': '3', 'ontology_name': False}, {'value': '4', 'ontology_name': False}]	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	[{'value': 'Shotgun proteomics', 'ontology_name': False}, {'value': 'spike-in SILAC', 'ontology_name': False}, {'value': 'SILAC', 'ontology_name': False}]	0.882	0.859	0.765	1.0	{'value': 'DDA', 'ontology_name': False}	{'value': '100 mM iodoacetamide', 'ontology_name': False}	{'value': 'iodoacetamide', 'ontology_name': False}	{'value': 'trypsin', 'ontology_name': False}	{'value': '25', 'ontology_name': False}	{'value': 'affinity', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'HCD', 'ontology_name': False}	{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}	{'value': 'nanoESI', 'ontology_name': False}	[{'value': 'SILAC', 'ontology_name': False}, {'value': 'label-free', 'ontology_name': False}]	{'value': 'Orbitrap', 'ontology_name': False}	[{'value': 'myristoylated residue', 'ontology_name': 'myristoylated residue'}, {'value': 'carbamidomethylation', 'ontology_name': 'Carbamidomethyl'}, {'value': 'oxidation', 'ontology_name': 'Oxidation'}]	{'value': '100 mM DTT', 'ontology_name': False}	{'value': 'DTT', 'ontology_name': False}	0.875	0.772	0.944	1.0
PXD003053	shard_0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'mammalian cell', 'ontology_name': 'eukaryotic cell'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'normal', 'ontology_name': 'normal'}	{'value': 'cell lysate', 'ontology_name': False}	{'value': 'cell culture', 'ontology_name': 'cell culture'}	{'value': 'unknown', 'ontology_name': False}	[{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}, {'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}]	{'value': 'unknown', 'ontology_name': False}	0.843	0.927	0.4	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'shotgun proteomics', 'ontology_name': False}	0.822	1.0	0.111	1.0	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	{'value': 'Orbitrap', 'ontology_name': False}	{'value': 'Oxidation', 'ontology_name': 'Oxidation'}	{'value': 'unknown', 'ontology_name': False}	{'value': 'unknown', 'ontology_name': False}	0.823	0.967	0.2	1.0
