source_file,source_shard,age,cell_line,cell_type,developmental_stage,disease_state,material_type,sample_source,sex,species,tissue,biological_confidence_overall,biological_confidence_evidence_score,biological_confidence_completeness,biological_confidence_format_score,biological_replicate,experimental_design,factor_value,number_of_biological_replicates,number_of_fractions,number_of_samples,number_of_technical_replicates,technical_replicate,technology_type,experimental_design_confidence_overall,experimental_design_confidence_evidence_score,experimental_design_confidence_completeness,experimental_design_confidence_format_score,acquisition_method,alkylation_concentration,alkylation_reagent,cleavage_agent,collision_energy,enrichment_method,fractionation_method,fragmentation_method,instrument,ionization_type,labeling,mass_analyzer,ptm,reduction_concentration,reduction_reagent,technical_confidence_overall,technical_confidence_evidence_score,technical_confidence_completeness,technical_confidence_format_score
PXD001985,shard_0,"{'value': 'adults', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'Epithelial cell', 'ontology_name': 'epithelial cell'}, {'value': 'Neutrophil', 'ontology_name': 'neutrophil'}, {'value': 'Leukocyte', 'ontology_name': 'leukocyte'}, {'value': 'T cell', 'ontology_name': 'T cell'}, {'value': 'Macrophage', 'ontology_name': 'macrophage'}, {'value': 'Dendritic cell', 'ontology_name': 'dendritic cell'}, {'value': 'B cell', 'ontology_name': 'B cell'}, {'value': 'Platelet', 'ontology_name': 'platelet'}, {'value': 'Fibroblast', 'ontology_name': 'fibroblast'}, {'value': 'Erythrocyte', 'ontology_name': 'erythrocyte'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'Cystic fibrosis', 'ontology_name': 'cystic fibrosis'}","[{'value': 'biofluid', 'ontology_name': False}, {'value': 'primary cells', 'ontology_name': False}]","[{'value': 'sputum', 'ontology_name': 'sputum'}, {'value': 'healthy controls', 'ontology_name': False}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'lung', 'ontology_name': 'lung'}, {'value': 'Sputum', 'ontology_name': 'sputum'}]",0.913,0.935,0.731,1.0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'treated vs control', 'ontology_name': False}","{'value': 'CF vs healthy', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'bottom-up proteomics', 'ontology_name': False}",0.783,0.833,0.333,1.0,"{'value': 'Shotgun proteomics', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'LTQ Orbitrap Velos', 'ontology_name': 'LTQ Orbitrap Velos'}","{'value': 'ESI', 'ontology_name': False}","{'value': 'iTRAQ', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","[{'value': 'Deamidated', 'ontology_name': 'Deamidated'}, {'value': 'iTRAQ8plex', 'ontology_name': 'iTRAQ8plex'}, {'value': 'Oxidation', 'ontology_name': 'Oxidation'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}",0.876,0.965,0.471,1.0
PXD006299,shard_0,"{'value': 'unknown', 'ontology_name': False}","[{'value': 'Jurkat', 'ontology_name': 'JURKAT cell'}, {'value': 'Hep-2', 'ontology_name': 'HEp-2 cell'}]","[{'value': 'T cell', 'ontology_name': 'T cell'}, {'value': 'epithelial cell', 'ontology_name': 'epithelial cell'}]","{'value': 'unknown', 'ontology_name': False}","[{'value': 'T-cell lymphoma', 'ontology_name': 'T-cell non-Hodgkin lymphoma'}, {'value': 'normal', 'ontology_name': 'normal'}]","{'value': 'cell line', 'ontology_name': False}","{'value': 'cell culture', 'ontology_name': 'cell culture'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'blood', 'ontology_name': 'blood'}, {'value': 'cervix', 'ontology_name': False}]",0.828,0.811,0.611,1.0,"[{'value': 'two different human cell lines', 'ontology_name': False}, {'value': 'Jurkat cell', 'ontology_name': False}, {'value': 'Hep-2 cell', 'ontology_name': False}]","[{'value': 'case vs control', 'ontology_name': False}, {'value': 'treated vs control', 'ontology_name': False}]","[{'value': 'cell line', 'ontology_name': False}, {'value': 'proteasomal inhibition', 'ontology_name': False}, {'value': 'bortezomib', 'ontology_name': False}]","{'value': '2', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '2', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'Shotgun proteomics', 'ontology_name': False}, {'value': 'affinity purification coupled with mass spectrometry proteomics', 'ontology_name': False}]",0.897,0.873,0.8,1.0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Q Exactive HF', 'ontology_name': 'Q Exactive HF'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'label-free', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","[{'value': 'monohydroxylated residue', 'ontology_name': 'monohydroxylated residue'}, {'value': 'phosphorylated residue', 'ontology_name': 'phosphorylated residue'}, {'value': 'acetylated residue', 'ontology_name': 'acetylated residue'}, {'value': 'ubiquitination signature dipeptidyl lysine', 'ontology_name': 'ubiquitination signature dipeptidyl lysine'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}",0.85,0.944,0.389,1.0
PXD007959,shard_0,"{'value': '<18 years old', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'mucosal epithelial cells', 'ontology_name': 'epithelial cell of viscerocranial mucosa'}","{'value': 'pediatric', 'ontology_name': False}","[{'value': 'inflammatory bowel disease', 'ontology_name': 'inflammatory bowel disease'}, {'value': ""Crohn's disease"", 'ontology_name': 'Crohn disease'}, {'value': 'ulcerative colitis', 'ontology_name': 'ulcerative colitis'}, {'value': 'normal', 'ontology_name': 'normal'}]","[{'value': 'extracellular vesicles', 'ontology_name': False}, {'value': 'MLI aspirate', 'ontology_name': False}]","{'value': 'colon aspirate', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'Colon', 'ontology_name': 'colon'}, {'value': 'descending colon', 'ontology_name': 'descending colon'}]",0.887,0.9,0.684,1.0,"{'value': 'pediatric patients', 'ontology_name': False}","{'value': 'case vs control', 'ontology_name': False}","{'value': 'IBD vs non-IBD', 'ontology_name': False}","{'value': '71', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '71', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'shotgun proteomics', 'ontology_name': False}",0.817,0.767,0.667,1.0,"{'value': 'DDA', 'ontology_name': False}","{'value': '20 mM', 'ontology_name': False}","{'value': 'iodoacetamide', 'ontology_name': False}","{'value': 'trypsin', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}","{'value': 'nanoESI', 'ontology_name': False}","{'value': 'label-free', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","[{'value': 'monohydroxylated residue', 'ontology_name': 'monohydroxylated residue'}, {'value': 'iodoacetamide derivatized residue', 'ontology_name': 'iodoacetamide derivatized residue'}]","{'value': '10 mM', 'ontology_name': False}","{'value': 'dithiothreitol', 'ontology_name': False}",0.825,0.75,0.75,1.0
PXD008918,shard_0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'monocyte', 'ontology_name': 'monocyte'}, {'value': 'hepatocyte-like cell', 'ontology_name': 'hepatocyte'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'Dili', 'ontology_name': 'drug-induced lupus erythematosus'}","{'value': 'cell culture', 'ontology_name': False}","[{'value': 'patient peripheral blood', 'ontology_name': 'peripheral blood'}, {'value': 'cell culture', 'ontology_name': 'cell culture'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'blood', 'ontology_name': 'blood'}, {'value': 'liver', 'ontology_name': 'liver'}]",0.868,0.924,0.529,1.0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'treated vs control', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '3', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '6', 'ontology_name': False}","{'value': '1', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Shotgun proteomics', 'ontology_name': False}",0.856,0.889,0.556,1.0,"[{'value': 'Shotgun proteomics', 'ontology_name': False}, {'value': 'DDA', 'ontology_name': False}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'Trypsin', 'ontology_name': False}, {'value': 'LysC', 'ontology_name': False}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'reverse phase column', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'label-free', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","{'value': 'No PTMs are included in the dataset', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}",0.876,0.941,0.529,1.0
PXD008980,shard_0,"{'value': 'unknown', 'ontology_name': False}","[{'value': 'IMR-90', 'ontology_name': 'IMR-90 cell'}, {'value': 'IMR-90', 'ontology_name': 'IMR-90 cell'}]","[{'value': 'lung fibroblast', 'ontology_name': 'fibroblast of lung'}, {'value': 'fibroblast', 'ontology_name': 'fibroblast'}]","{'value': 'unknown', 'ontology_name': False}","[{'value': 'Viral infectious disease', 'ontology_name': 'viral infectious disease'}, {'value': 'adenovirus type 2 infection', 'ontology_name': 'Unusual adenovirus infection'}]","{'value': 'cell line', 'ontology_name': False}","{'value': 'cell culture', 'ontology_name': 'cell culture'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'lung', 'ontology_name': 'lung'}, {'value': 'lung', 'ontology_name': 'lung'}]",0.9,0.956,0.611,1.0,"{'value': '2', 'ontology_name': False}","{'value': 'time course', 'ontology_name': False}","{'value': 'time post infection', 'ontology_name': False}","{'value': '2', 'ontology_name': False}","{'value': '10', 'ontology_name': False}","{'value': '40', 'ontology_name': False}","{'value': '1', 'ontology_name': False}","{'value': '1', 'ontology_name': False}","[{'value': 'Shotgun proteomics', 'ontology_name': False}, {'value': 'SILAC', 'ontology_name': False}]",0.9,0.8,1.0,1.0,"{'value': 'Shotgun proteomics', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'trypsin', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}, {'value': 'Q-Exactive Orbitrap', 'ontology_name': 'Q Exactive GC Orbitrap'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'SILAC', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","[{'value': 'monohydroxylated residue', 'ontology_name': 'monohydroxylated residue'}, {'value': 'phosphorylated residue', 'ontology_name': 'phosphorylated residue'}, {'value': 'acetylated residue', 'ontology_name': 'acetylated residue'}, {'value': 'iodoacetamide derivatized residue', 'ontology_name': 'iodoacetamide derivatized residue'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}",0.905,1.0,0.526,1.0
PXD009241,shard_0,"{'value': 'unknown', 'ontology_name': False}","[{'value': 'FaDu', 'ontology_name': False}, {'value': 'CAL 27', 'ontology_name': 'CAL 27 cell'}, {'value': 'OKF6/TERT1', 'ontology_name': False}, {'value': 'JHU-O28', 'ontology_name': False}]","[{'value': 'Squamous epithelial cell', 'ontology_name': 'squamous epithelial cell'}, {'value': 'epithelial cell', 'ontology_name': 'epithelial cell'}]","{'value': 'unknown', 'ontology_name': False}","[{'value': 'Head and neck squamous cell carcinoma', 'ontology_name': 'head and neck squamous cell carcinoma'}, {'value': 'cervical adenocarcinoma', 'ontology_name': 'cervical adenocarcinoma'}]","{'value': 'cell line', 'ontology_name': False}","{'value': 'cell culture', 'ontology_name': 'cell culture'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'cervix', 'ontology_name': False}, {'value': 'head and neck', 'ontology_name': False}]",0.895,0.93,0.65,1.0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'treated vs control', 'ontology_name': False}","{'value': 'HNSCC vs normal', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '25', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '2', 'ontology_name': False}","{'value': '2', 'ontology_name': False}","{'value': 'Shotgun proteomics', 'ontology_name': False}",0.856,0.844,0.667,1.0,"[{'value': 'DDA', 'ontology_name': False}, {'value': 'Shotgun proteomics', 'ontology_name': False}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'iodoacetamide', 'ontology_name': False}","{'value': 'trypsin', 'ontology_name': False}","{'value': '40% normalized collision energy', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'SCX', 'ontology_name': False}","{'value': 'HCD', 'ontology_name': False}","{'value': 'LTQ Orbitrap Velos', 'ontology_name': 'LTQ Orbitrap Velos'}","{'value': 'ESI', 'ontology_name': False}","{'value': 'iTRAQ', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","[{'value': 'monohydroxylated residue', 'ontology_name': 'monohydroxylated residue'}, {'value': 'iTRAQ8plex-116 reporter+balance reagent acylated residue', 'ontology_name': 'iTRAQ8plex-116 reporter+balance reagent acylated residue'}, {'value': 'iodoacetamide derivatized residue', 'ontology_name': 'iodoacetamide derivatized residue'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'TCEP', 'ontology_name': False}",0.917,0.9,0.833,1.0
PXD009426,shard_0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Melanocyte', 'ontology_name': 'melanocyte'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'Rattus rattus', 'ontology_name': 'Rattus norvegicus'}, {'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}]","[{'value': 'Spleen', 'ontology_name': 'spleen'}, {'value': 'Pancreas', 'ontology_name': 'pancreas'}]",0.863,1.0,0.312,1.0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Shotgun proteomics', 'ontology_name': False}",0.822,1.0,0.111,1.0,"{'value': 'Shotgun proteomics', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'Lys-c', 'ontology_name': False}, {'value': 'trypsin', 'ontology_name': False}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'TIC', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","[{'value': 'monohydroxylated residue', 'ontology_name': 'monohydroxylated residue'}, {'value': 'acetylated residue', 'ontology_name': 'acetylated residue'}, {'value': 'carbamoylated residue', 'ontology_name': 'carbamoylated residue'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}",0.886,0.972,0.5,1.0
PXD010154,shard_0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'normal', 'ontology_name': 'normal'}","{'value': 'tissue', 'ontology_name': False}","{'value': 'healthy donors', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'bone marrow', 'ontology_name': 'bone marrow'}, {'value': 'adipose tissue', 'ontology_name': 'adipose tissue'}, {'value': 'heart', 'ontology_name': 'heart'}, {'value': 'salivary gland', 'ontology_name': 'saliva-secreting gland'}, {'value': 'oviduct', 'ontology_name': 'oviduct'}, {'value': 'ovary', 'ontology_name': 'ovary'}, {'value': 'vermiform appendix', 'ontology_name': 'vermiform appendix'}, {'value': 'urinary bladder', 'ontology_name': 'urinary bladder'}, {'value': 'lung', 'ontology_name': 'lung'}, {'value': 'small intestine', 'ontology_name': 'small intestine'}, {'value': 'placenta', 'ontology_name': 'placenta'}, {'value': 'hypophysis', 'ontology_name': False}, {'value': 'thyroid gland', 'ontology_name': 'thyroid gland'}, {'value': 'gall bladder', 'ontology_name': 'gallbladder'}, {'value': 'spleen', 'ontology_name': 'spleen'}, {'value': 'rectum', 'ontology_name': 'rectum'}, {'value': 'colon', 'ontology_name': 'colon'}, {'value': 'tonsil', 'ontology_name': 'tonsil'}, {'value': 'duodenum', 'ontology_name': 'duodenum'}, {'value': 'prostate gland', 'ontology_name': 'prostate gland'}, {'value': 'lymph node', 'ontology_name': 'lymph node'}, {'value': 'uterine endometrium', 'ontology_name': 'endometrium'}, {'value': 'pancreas', 'ontology_name': 'pancreas'}, {'value': 'liver', 'ontology_name': 'liver'}, {'value': 'adrenal gland', 'ontology_name': 'adrenal gland'}, {'value': 'smooth muscle', 'ontology_name': 'smooth muscle tissue'}, {'value': 'stomach', 'ontology_name': 'stomach'}, {'value': 'kidney', 'ontology_name': 'kidney'}, {'value': 'brain', 'ontology_name': 'brain'}, {'value': 'esophagus', 'ontology_name': 'esophagus'}, {'value': 'testis', 'ontology_name': 'testis'}]",0.952,0.986,0.795,1.0,"{'value': '29', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '29', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '29', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Shotgun proteomics', 'ontology_name': False}",0.883,0.989,0.444,1.0,"{'value': 'Shotgun proteomics', 'ontology_name': False}","{'value': '40 mM', 'ontology_name': False}","[{'value': 'chloroacetamide', 'ontology_name': False}, {'value': 'iodoacetamide derivatized residue', 'ontology_name': False}]","[{'value': 'trypsin', 'ontology_name': False}, {'value': 'LysC', 'ontology_name': False}, {'value': 'ArgC', 'ontology_name': False}, {'value': 'GluC', 'ontology_name': False}, {'value': 'AspN', 'ontology_name': False}, {'value': 'LysN', 'ontology_name': False}, {'value': 'chymotrypsin', 'ontology_name': False}]","[{'value': '25%', 'ontology_name': False}, {'value': '35%', 'ontology_name': False}, {'value': '28%', 'ontology_name': False}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'hSAX', 'ontology_name': False}","[{'value': 'HCD', 'ontology_name': False}, {'value': 'CID', 'ontology_name': False}, {'value': 'EThcD', 'ontology_name': False}, {'value': 'ETD', 'ontology_name': False}]","[{'value': 'Orbitrap Fusion Lumos', 'ontology_name': 'Orbitrap Fusion Lumos'}, {'value': 'Q Exactive Plus', 'ontology_name': 'Q Exactive Plus'}, {'value': 'Q Exactive HF', 'ontology_name': 'Q Exactive HF'}]","{'value': 'ESI', 'ontology_name': False}","[{'value': 'label-free', 'ontology_name': False}, {'value': 'MS1 intensity based label-free quantification method', 'ontology_name': False}]","[{'value': 'Orbitrap', 'ontology_name': False}, {'value': 'Ion Trap', 'ontology_name': False}]","[{'value': 'acetylated residue', 'ontology_name': 'acetylated residue'}, {'value': 'L-methionine sulfoxide', 'ontology_name': 'L-methionine sulfoxide'}, {'value': 'iodoacetamide derivatized residue', 'ontology_name': 'iodoacetamide derivatized residue'}, {'value': 'carbamidomethyl (C)', 'ontology_name': 'S-carboxamidomethyl-L-cysteine'}, {'value': 'Oxidation (M)', 'ontology_name': 'monohydroxylated phenylalanine'}, {'value': 'acetylation (protein N‐Term)', 'ontology_name': 'mono N-acetylated residue'}, {'value': 'carbamidomethylation', 'ontology_name': 'Carbamidomethyl'}, {'value': 'oxidation', 'ontology_name': 'Oxidation'}]","{'value': '10 mM', 'ontology_name': False}","{'value': 'tris(2‐carboxyethyl)phosphin hydrochloride', 'ontology_name': False}",0.961,0.932,0.974,1.0
PXD010469,shard_0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'children', 'ontology_name': False}, {'value': 'adult', 'ontology_name': False}]","[{'value': 'Vesicoureteral reflux', 'ontology_name': 'vesicoureteral reflux'}, {'value': 'Urinary tract infection', 'ontology_name': 'urinary tract infection'}, {'value': 'normal', 'ontology_name': 'normal'}]","{'value': 'biofluid', 'ontology_name': False}","[{'value': 'patient urine', 'ontology_name': 'urine'}, {'value': 'healthy donor urine', 'ontology_name': False}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'kidney', 'ontology_name': 'kidney'}, {'value': 'bladder', 'ontology_name': False}, {'value': 'ureter', 'ontology_name': 'ureter'}, {'value': 'urinary tract', 'ontology_name': 'renal system'}]",0.812,0.776,0.619,1.0,"{'value': '22', 'ontology_name': False}","{'value': 'case vs control', 'ontology_name': False}","{'value': 'VUR vs control', 'ontology_name': False}","{'value': '22', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': '44', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Shotgun proteomics', 'ontology_name': False}",0.872,0.878,0.667,1.0,"{'value': 'DDA', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'iodoacetamide', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Q Exactive', 'ontology_name': 'Q Exactive'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'label-free', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","{'value': 'iodoacetamide derivatized residue', 'ontology_name': 'iodoacetamide derivatized residue'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}",0.83,0.9,0.4,1.0
PXD046405,shard_0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","[{'value': 'neutrophil', 'ontology_name': 'neutrophil'}, {'value': 'liver', 'ontology_name': 'liver'}, {'value': 'gallbladder', 'ontology_name': 'gallbladder'}]","{'value': 'unknown', 'ontology_name': False}","{'value': 'normal', 'ontology_name': 'normal'}","[{'value': 'biofluid', 'ontology_name': False}, {'value': 'recombinant protein', 'ontology_name': False}, {'value': 'synthetic peptide', 'ontology_name': False}]","{'value': 'blood serum', 'ontology_name': 'blood serum'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Homo sapiens', 'ontology_name': 'Homo sapiens'}","[{'value': 'liver', 'ontology_name': 'liver'}, {'value': 'gallbladder', 'ontology_name': 'gallbladder'}]",0.832,0.832,0.579,1.0,"{'value': 'unknown', 'ontology_name': False}","{'value': 'time course', 'ontology_name': False}","{'value': 'glycosylation', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'bottom-up proteomics', 'ontology_name': False}",0.833,0.933,0.333,1.0,"{'value': 'Data-dependent acquisition', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}","{'value': 'Orbitrap Fusion Lumos', 'ontology_name': 'Orbitrap Fusion Lumos'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'label-free', 'ontology_name': False}","{'value': 'Orbitrap', 'ontology_name': False}","{'value': 'complex glycosylation', 'ontology_name': 'complex glycosylation'}","{'value': 'unknown', 'ontology_name': False}","{'value': 'unknown', 'ontology_name': False}",0.847,0.96,0.333,1.0
