source_file	source_shard	age	cell_line	cell_type	developmental_stage	disease_state	material_type	sample_source	sex	species	tissue	biological_confidence_overall	biological_confidence_evidence_score	biological_confidence_completeness	biological_confidence_format_score	biological_replicate	experimental_design	factor_value	number_of_biological_replicates	number_of_fractions	number_of_samples	number_of_technical_replicates	technical_replicate	technology_type	experimental_design_confidence_overall	experimental_design_confidence_evidence_score	experimental_design_confidence_completeness	experimental_design_confidence_format_score	acquisition_method	alkylation_concentration	alkylation_reagent	cleavage_agent	collision_energy	enrichment_method	fractionation_method	fragmentation_method	instrument	ionization_type	labeling	mass_analyzer	ptm	reduction_concentration	reduction_reagent	technical_confidence_overall	technical_confidence_evidence_score	technical_confidence_completeness	technical_confidence_format_score
PXD000004	shard_0	unknown	unknown	neuronal	unknown	normal	tissue	human brain tissue	unknown	['Homo sapiens', 'Mus musculus']	brain	0.843	0.9	0.467	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	targeted proteomics	0.778	0.911	0.111	1.0	targeted mass spectrometry	unknown	iodoacetamide	unknown	unknown	affinity	unknown	unknown	Q Exactive	ESI	SILAC	Orbitrap	['monohydroxylated residue', '6x(13)C labeled residue', 'iodoacetamide derivatized residue']	unknown	unknown	0.853	0.871	0.588	1.0
PXD000445	shard_0	unknown	['SW480', 'SW620', 'Caco2', 'HT29', 'CX1', 'HCEC']	['colon epithelial cell', 'colon epithelial cell']	unknown	['colorectal adenoma', 'normal', 'colorectal cancer']	['tissue', 'cell line']	['colonoscopy sample', 'cell culture']	unknown	Homo sapiens	['colon', 'colon']	0.905	0.922	0.72	1.0	30	treated vs control	adenoma vs normal mucosa	36	unknown	36	unknown	unknown	Bottom-up proteomics	0.817	0.767	0.667	1.0	unknown	unknown	unknown	unknown	unknown	unknown	OFFGEL electrophoresis	unknown	LTQ Orbitrap Velos	unknown	iTRAQ	Orbitrap	"['monohydroxylated residue', 'iTRAQ8plex-116 reporter+balance reagent acylated residue', ""iTRAQ8plex-114 reporter+balance reagent O4'-acylated tyrosine"", 'methylthiolated residue', 'iTRAQ8plex-114 reporter+balance reagent N6-acylated lysine', 'iTRAQ8plex-114 reporter+balance reagent acylated N-terminal']"	unknown	unknown	0.897	0.995	0.5	1.0
PXD001000	shard_0	unknown	unknown	unknown	unknown	Breast cancer	unknown	unknown	unknown	['Homo sapiens', 'Mus musculus']	unknown	0.84	1.0	0.2	1.0	unknown	unknown	unknown	unknown	12	unknown	unknown	unknown	shotgun proteomics	0.844	1.0	0.222	1.0	unknown	unknown	Iodoacetamide	Trypsin	0.45	Fe3+ NTA-Agarose (Qiagen)	Peptide basic pH Reversed Phase LC (pH 7.5)	HCD	['LTQ Orbitrap Velos', 'Thermo LTQ Orbitrap Velos']	unknown	['iTRAQ', '4-plex iTRAQ']	Orbitrap	['Phospho', 'Deamidated', 'iTRAQ4plex', 'Carbamidomethyl', 'Oxidation']	unknown	unknown	0.95	0.995	0.762	1.0
PXD001326	shard_0	unknown	ZR-75-1	['cancer-associated fibroblasts', 'primary human mammary fibroblasts', 'mammary carcinoma cell']	unknown	['breast adenocarcinoma', 'breast cancer']	['tissue', 'primary cells', 'cell line']	['tumor biopsy', 'cell culture', 'cell culture']	unknown	Homo sapiens	breast	0.85	0.833	0.667	1.0	unknown	cross-sectional	tumor-central vs tumor-near vs tumor-distant	unknown	8	unknown	unknown	unknown	shotgun proteomics	0.817	0.856	0.444	1.0	Shotgun proteomics	unknown	IAA	trypsin	30% normalized collision energy	unknown	unknown	HCD	Q Exactive	unknown	label-free	Orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl']	unknown	DTT	0.938	0.994	0.706	1.0
PXD001419	shard_0	unknown	unknown	peripheral blood mononuclear cell	unknown	normal	primary cells	healthy volunteers	unknown	Homo sapiens	Blood	0.864	0.957	0.429	1.0	3	treated vs control	treated vs control	3	4	3	2	2	Shotgun proteomics	0.911	0.822	1.0	1.0	Shotgun proteomics	unknown	IAA	trypsin	30% normalized collision energy	unknown	unknown	HCD	Q Exactive	nanospray ion source	label-free	Orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl', 'carbamidomethylation', 'methionine oxidation', 'N-terminal protein acetylation']	unknown	DTT	0.948	0.975	0.8	1.0
PXD001524	shard_0	unknown	unknown	testicular cells	unknown	normal	tissue	human cadaveric testicular tissue	unknown	Homo sapiens	testis	0.871	0.971	0.429	1.0	unknown	treated vs control	SDS vs Triton X-100	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.811	0.889	0.333	1.0	DDA	15 mM	iodacetamide	Trypsin	30	unknown	unknown	HCD	LTQ Orbitrap	unknown	label-free	Orbitrap	['Deamidated', 'Carbamidomethyl', 'Oxidation']	5 mM	DTT	0.926	0.924	0.824	1.0
PXD001985	shard_0	adults	unknown	['Epithelial cell', 'Neutrophil', 'Leukocyte', 'T cell', 'Macrophage', 'Dendritic cell', 'B cell', 'Platelet', 'Fibroblast', 'Erythrocyte']	adult	Cystic fibrosis	biofluid	sputum sample	unknown	Homo sapiens	lung	0.924	0.952	0.739	1.0	unknown	case vs control	CF vs healthy control	unknown	unknown	unknown	unknown	unknown	['shotgun proteomics', 'iTRAQ']	0.83	0.9	0.4	1.0	unknown	10 mM	methyl methanethiosulphonate	trypsin	normalized collision energy of 40%	unknown	SCX	higher-collision dissociation	LTQ Orbitrap Velos	ESI	iTRAQ	Orbitrap	['Deamidated', 'iTRAQ8plex', 'Oxidation']	5 mM	tris-(2-carboxyethyl) phosphine	0.959	0.965	0.882	1.0
PXD002354	shard_0	unknown	HEK cells	Fibroblast	unknown	normal	cell culture	cell culture	unknown	Homo sapiens	unknown	0.821	0.871	0.429	1.0	['3', '3', '3']	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Top-down proteomics	0.859	0.973	0.364	1.0	unknown	unknown	iodoacetamide	unknown	unknown	unknown	unknown	unknown	['QSTAR', 'Q Exactive']	unknown	iTRAQ	Orbitrap	['monohydroxylated residue', 'deaminated residue', 'acetylated residue', 'iodoacetamide derivatized residue', 'deamidated residue', 'iTRAQ4plex-116 reporter+balance reagent acylated residue', 'dehydrated residue']	unknown	unknown	0.898	0.977	0.545	1.0
PXD002687	shard_0	unknown	HeLa	epithelial cell	unknown	cervical adenocarcinoma	cell line	cell culture	unknown	Homo sapiens	cervix	0.829	0.857	0.5	1.0	4	unknown	['Myr', 'YnMyr']	4	unknown	8	unknown	unknown	Shotgun proteomics	0.895	0.95	0.6	1.0	DDA	100 mM iodoacetamide	iodoacetamide	trypsin	25	affinity	unknown	HCD	Q Exactive	nanoESI	['SILAC', 'label-free']	Orbitrap	['carbamidomethylation', 'oxidation', 'myristoylated residue']	100 mM DTT	DTT	0.861	0.744	0.944	1.0
PXD003053	shard_0	unknown	HEK293	kidney cell	unknown	normal	cell line	cell culture	unknown	['Homo sapiens', 'Homo sapiens']	kidney	0.8	0.787	0.533	1.0	unknown	treated vs control	HYPE E234G	1	unknown	unknown	2	2	Shotgun proteomics	0.778	0.689	0.667	1.0	Shotgun proteomics	unknown	unknown	trypsin	unknown	NeutrAvidin agarose resin	unknown	unknown	Q Exactive	unknown	label-free	Orbitrap	['Oxidation', 'AMPylation']	1 mM	DTT	0.869	0.887	0.625	1.0
