pxd	run	tissue_mlm	confidence_mlm	tissue_llm	is_agree	is_in_mlm_vocab	lin_similarity	uberon_distance	concordance_tier	mica_label	disease_state_llm	sample_source_llm
PXD001417	PBMC_1_con_sn1a	Monocytes	0.2631	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	peripheral blood
PXD001417	PBMC_1_con_sn1b	Monocytes	0.2693	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	peripheral blood
PXD001417	PBMC_2_con_sn1a	Bone marrow	0.1184	blood	False	False	0.7688	2	Near-Agreement (Subpart / Secretome)	hematopoietic system	normal	peripheral blood
PXD001417	PBMC_2_con_sn1b	Monocytes	0.1709	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	peripheral blood
PXD001417	PBMC_3_con_sn1a	Monocytes	0.3237	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	peripheral blood
PXD001417	PBMC_3_con_sn1b	Monocytes	0.3741	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	peripheral blood
PXD001418	PBMC_1_stim_ne1a	B-cells	0.4477	blood	False	False	0.6749	5	Distant Concordance (Organ System)	hematopoietic lineage restricted progenitor cell	normal	PBMC culture
PXD001418	PBMC_1_stim_ne1b	B-cells	0.4269	blood	False	False	0.6749	5	Distant Concordance (Organ System)	hematopoietic lineage restricted progenitor cell	normal	PBMC culture
PXD001418	PBMC_1_stim_ne2a	Monocytes	0.1949	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	PBMC culture
PXD001418	PBMC_1_stim_ne2b	Bone marrow	0.1939	blood	False	False	0.7688	2	Near-Agreement (Subpart / Secretome)	hematopoietic system	normal	PBMC culture
PXD001418	PBMC_1_stim_ne3a	Monocytes	0.1514	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	PBMC culture
PXD001418	PBMC_1_stim_ne3b	Monocytes	0.1862	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	PBMC culture
PXD001418	PBMC_1_stim_ne4a	Bone marrow	0.107	blood	False	False	0.7688	2	Near-Agreement (Subpart / Secretome)	hematopoietic system	normal	PBMC culture
PXD001418	PBMC_1_stim_ne4b	Monocytes	0.1382	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	PBMC culture
PXD001418	PBMC_2_stim_ne1a	B-cells	0.3352	blood	False	False	0.6749	5	Distant Concordance (Organ System)	hematopoietic lineage restricted progenitor cell	normal	PBMC culture
PXD001418	PBMC_2_stim_ne1b	B-cells	0.3465	blood	False	False	0.6749	5	Distant Concordance (Organ System)	hematopoietic lineage restricted progenitor cell	normal	PBMC culture
PXD001418	PBMC_2_stim_ne2a	Bone marrow	0.2066	blood	False	False	0.7688	2	Near-Agreement (Subpart / Secretome)	hematopoietic system	normal	PBMC culture
PXD001418	PBMC_2_stim_ne2b	Bone marrow	0.2013	blood	False	False	0.7688	2	Near-Agreement (Subpart / Secretome)	hematopoietic system	normal	PBMC culture
PXD001418	PBMC_2_stim_ne3a	Monocytes	0.1501	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	PBMC culture
PXD001418	PBMC_2_stim_ne3b	Bone marrow	0.1377	blood	False	False	0.7688	2	Near-Agreement (Subpart / Secretome)	hematopoietic system	normal	PBMC culture
PXD001418	PBMC_2_stim_ne4a	Monocytes	0.1895	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	PBMC culture
PXD001418	PBMC_2_stim_ne4b	Monocytes	0.1789	blood	False	False	0.8311	4	Near-Agreement (Subpart / Secretome)	basophilic cytoplasm	normal	PBMC culture
PXD001418	PBMC_3_stim_ne1a	B-cells	0.3124	blood	False	False	0.6749	5	Distant Concordance (Organ System)	hematopoietic lineage restricted progenitor cell	normal	PBMC culture
PXD001418	PBMC_3_stim_ne1b	B-cells	0.3118	blood	False	False	0.6749	5	Distant Concordance (Organ System)	hematopoietic lineage restricted progenitor cell	normal	PBMC culture
