tissue_llm	tissue_mlm	mica_label	Run_Count	Mean_Lin_Sim
blood	Bone marrow	hematopoietic system	853	0.7688
blood	Adipose tissue	mesenchymal stem cell	170	0.2756
blood	Monocytes	basophilic cytoplasm	124	0.8311
saliva	Esophagus	subdivision of tube	67	0.1351
cervix	Esophagus	digestive tract	58	0.235
dental plaque; dental calculus	Bone marrow	presumptive structure	55	0.1384
muscle	Bone marrow	muscle structure	43	0.41169999999999995
peritoneum	Bone marrow	lateral plate mesoderm	38	0.2031
saliva-secreting gland	Salivary gland	saliva-secreting gland	34	1.0
seminal vesicle	Prostate	male reproductive gland	32	0.8041
enamel	Bone marrow	skeletal tissue	32	0.2889
eye	Bone marrow	non-connected functional system	28	0.4695
