,Adipose tissue,Adrenal gland,B-cells,Bone marrow,Brain,Colon,Duodenum,Endometrium,Esophagus,Heart,Kidney,Liver,Lung,Monocytes,Nasal polyps,Ovary,Oviduct,Pituitary gland,Placenta,Prostate,Salivary gland,Skeletal muscle,Small intestine,Stomach,Testis,Thyroid,Tonsil,Urinary bladder
Adipose tissue,0.99999994,0.7917796,0.6518661,0.693997,0.7457621,0.7724405,0.7434796,0.8112692,0.71666354,0.733875,0.7097828,0.80505145,0.7656848,0.76423347,0.7192299,0.78316635,0.7377233,0.78489417,0.7546571,0.763893,0.7704796,0.8300542,0.7668226,0.7541728,0.767535,0.77110845,0.6769309,0.7241437
Adrenal gland,0.7917796,1.0,0.645039,0.75916153,0.8357554,0.79521996,0.86628497,0.8693626,0.7658889,0.8116773,0.7679658,0.8597261,0.84105015,0.6992929,0.7810507,0.8650887,0.765959,0.9428395,0.8034384,0.84767836,0.9018609,0.7975656,0.86677194,0.84335077,0.8175893,0.8851201,0.7478652,0.8629831
B-cells,0.6518661,0.645039,1.0,0.65159994,0.6188728,0.63879895,0.631998,0.65033746,0.59272236,0.59005994,0.58342975,0.65391785,0.6297731,0.7599336,0.6082027,0.6543546,0.5871186,0.6690852,0.5988902,0.607427,0.6130978,0.6294018,0.6496397,0.6289817,0.6317392,0.6486847,0.5884696,0.58139837
Bone marrow,0.693997,0.75916153,0.65159994,1.0,0.74943894,0.72840613,0.7193901,0.71100634,0.6852819,0.67051667,0.7178959,0.74561894,0.785382,0.6333153,0.71407676,0.7165838,0.6705576,0.73370504,0.70169884,0.7036141,0.75024474,0.75916374,0.7465962,0.68712854,0.71868694,0.7424019,0.71705997,0.7234719
Brain,0.7457621,0.8357554,0.6188728,0.74943894,1.0,0.84550124,0.81988835,0.8195724,0.79269785,0.88301194,0.8064367,0.88374275,0.9020045,0.71783817,0.74971867,0.8807183,0.719577,0.84826046,0.8226836,0.8554936,0.8185302,0.75300926,0.8173297,0.86209655,0.8708052,0.88571286,0.7941135,0.76761526
Colon,0.7724405,0.79521996,0.63879895,0.72840613,0.84550124,1.0,0.8345901,0.8569608,0.85339034,0.834031,0.8337682,0.89554137,0.8985211,0.75431114,0.74764794,0.8757649,0.74009407,0.7859795,0.89108604,0.8314832,0.7687324,0.7693775,0.8076458,0.89590275,0.86057544,0.86362094,0.78561926,0.76402456
Duodenum,0.7434796,0.86628497,0.631998,0.7193901,0.81988835,0.8345901,1.0,0.8996477,0.8032116,0.77778506,0.74391526,0.8341464,0.83356696,0.69286597,0.8177368,0.86024827,0.7928454,0.8704796,0.7986825,0.8012212,0.8696083,0.7500549,0.9050036,0.86721957,0.7942324,0.84216714,0.85436445,0.8219477
Endometrium,0.8112692,0.8693626,0.65033746,0.71100634,0.8195724,0.8569608,0.8996477,0.9999999,0.7818891,0.78882426,0.75992084,0.8654545,0.8316233,0.77879405,0.7875228,0.8842452,0.8368959,0.8590398,0.8357979,0.84596974,0.8452709,0.7739719,0.8706689,0.8729379,0.8284782,0.8528466,0.78954744,0.8221625
Esophagus,0.71666354,0.7658889,0.59272236,0.6852819,0.79269785,0.85339034,0.8032116,0.7818891,1.0,0.79081506,0.90367204,0.8365199,0.847778,0.69669867,0.7613329,0.81501144,0.70870864,0.7614549,0.9042818,0.79340464,0.75958794,0.7276302,0.77924275,0.8555979,0.8100853,0.83635,0.7321728,0.7614819
Heart,0.733875,0.8116773,0.59005994,0.67051667,0.88301194,0.834031,0.77778506,0.78882426,0.79081506,1.0,0.8044447,0.9074754,0.8796545,0.7317662,0.7114238,0.8681089,0.6650661,0.8068936,0.80752313,0.83915865,0.77579725,0.7596046,0.7893426,0.89451694,0.84575784,0.87507457,0.75815916,0.75436777
