HAMLET (Agent),MLMarker,Run Count,Tier,1D Graph Dist,1D Graph Sim,2D Spatial Dist,2D Spatial Sim,Lin Sim (IC),Lin Dist (1-S),WuPalmer Sim (Depth),Jaccard IC Sim,Jaccard Anc Sim,Resnik Norm Sim,MICA Label,SciBERT Cosine Sim
brain,Brain,1568,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,brain,1.0
liver,Liver,569,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,liver,0.99999994
heart,Heart,503,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,heart,1.0
testis,Testis,156,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,testis,0.9999999
kidney,Kidney,148,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,kidney,0.9999998
blood,Monocytes,145,Near-Agreement,1.3452,0.4264,0.9501,0.5128,0.8311,0.1689,0.8182,0.1882,0.2703,0.802,basophilic cytoplasm,0.83531517
prostate,Prostate,124,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,prostate gland,1.0
skin,Ovary,119,Disagreement,1.589,0.3862,1.9595,0.3379,0.1359,0.8641,0.5714,0.0257,0.0959,0.0941,embryo,0.86125046
thyroid gland,Skeletal muscle,96,Disagreement,1.3783,0.4205,1.2717,0.4402,0.1483,0.8517,0.64,0.0415,0.1327,0.1009,basement membrane of epithelium,0.7604624
skeletal muscle,Skeletal muscle,70,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,skeletal muscle tissue,0.99999994
pleural fluid,Heart,67,Disagreement,2.1266,0.3198,2.3905,0.2949,0.1941,0.8059,0.6667,0.1161,0.2517,0.1141,dense mesenchyme tissue,0.7412304
placenta,Placenta,66,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,placenta,1.0
small intestine,Small intestine,53,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,small intestine,1.0
skeletal muscle,Heart,53,Distant-Agreement,1.3515,0.4253,1.4056,0.4157,0.5275,0.4725,0.7619,0.1302,0.2569,0.4447,dense mesenchyme tissue,0.75960463
seminal plasma,Prostate,52,Near-Agreement,0.6368,0.6109,0.3446,0.7437,0.8594,0.1406,0.6667,0.1908,0.3153,0.7958,male reproductive gland,0.79536134
cerebrospinal fluid,Pituitary gland,49,Distant-Agreement,1.3754,0.421,0.6029,0.6239,0.4616,0.5384,1.0,0.1247,0.2907,0.4283,forebrain,0.85714054
colon,Colon,46,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,colon,1.0
cerebrospinal fluid,Brain,45,Distant-Agreement,0.897,0.5271,0.0878,0.9193,0.5587,0.4413,0.5,0.0357,0.0745,0.3876,brain,0.82504696
saliva,Salivary gland,42,Near-Agreement,0.3328,0.7503,0.2876,0.7766,0.9987,0.0013,1.0,0.4267,0.4918,0.9974,saliva,0.8262886
cortex of kidney,Kidney,36,Near-Agreement,0.5167,0.6593,0.4762,0.6774,0.8925,0.1075,1.0,0.9461,0.9747,0.8058,mesonephric tubule,0.7675965
urine,Prostate,33,Distant-Agreement,1.4132,0.4144,1.1388,0.4675,0.4179,0.5821,0.6154,0.1847,0.3443,0.3347,genitourinary system,0.8219816
sperm,Testis,31,Distant-Agreement,1.1881,0.457,0.8159,0.5507,0.6752,0.3248,0.8,0.1719,0.2581,0.6578,male reproductive system,0.83792686
skin,Brain,24,Distant-Agreement,1.6056,0.3838,1.2568,0.4431,0.3594,0.6406,0.6667,0.0342,0.0909,0.3579,organ system subdivision,0.8579466
tear fluid,Salivary gland,20,Distant-Agreement,1.3095,0.433,0.9418,0.515,0.4223,0.5777,0.6957,0.2193,0.4688,0.3596,mouth,0.8034936
urine,Kidney,18,Distant-Agreement,0.3152,0.7603,0.5149,0.6601,0.561,0.439,1.0,0.9442,0.9872,0.3899,mesonephric tubule,0.8494158
sperm,Prostate,15,Near-Agreement,0.909,0.5238,0.5282,0.6544,0.8594,0.1406,0.64,0.1908,0.3153,0.7958,male reproductive gland,0.8251669
PBMCs,B-cells,10,Distant-Agreement,1.3019,0.4344,1.7862,0.3589,0.4865,0.5135,0.8,0.1454,0.1645,0.3849,hematopoietic lineage restricted progenitor cell,0.73959184
lung,Lung,9,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,lung,1.0
stem cells,Brain,8,Disagreement,1.5735,0.3886,1.8905,0.346,0.2705,0.7295,0.2857,0.0232,0.0625,0.1687,cell,0.49141207
esophagus,Esophagus,8,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,esophagus,1.0
brain,Heart,8,Disagreement,1.1953,0.4555,0.5246,0.6559,0.2443,0.7557,0.5714,0.0146,0.0427,0.2213,anatomical system,0.88301206
liver,Brain,7,Disagreement,1.1534,0.4644,1.0577,0.486,0.2174,0.7826,0.4211,0.0062,0.0302,0.1555,organ system subdivision,0.8837426
breast,Colon,6,Disagreement,1.7259,0.3669,1.4387,0.4101,0.1801,0.8199,0.625,0.0442,0.0964,0.1537,mesenchyme,0.88985306
kidney,Ovary,6,Near-Agreement,1.3217,0.4307,1.152,0.4647,0.7188,0.2812,1.0,0.0962,0.1069,0.6057,indifferent external genitalia,0.7960598
frontal cortex,Brain,5,Distant-Agreement,0.8879,0.5297,0.8757,0.5331,0.5849,0.4151,0.4211,0.1622,0.2059,0.4133,brain,0.83224666
PBMCs,Monocytes,5,Distant-Agreement,1.0206,0.4949,0.9409,0.5152,0.6016,0.3984,0.7826,0.2167,0.2941,0.4813,basophilic cytoplasm,0.8956508
stem cells,Skeletal muscle,5,Distant-Agreement,1.4078,0.4153,1.233,0.4478,0.3457,0.6543,0.4286,0.0148,0.0411,0.209,stem cell,0.55597204
neutrophil,Bone marrow,5,Distant-Agreement,1.6896,0.3718,1.2431,0.4458,0.4857,0.5143,0.5,0.0937,0.1707,0.3855,immune system,0.76628524
blood,B-cells,5,Distant-Agreement,1.6265,0.3807,1.5897,0.3861,0.6749,0.3251,0.8421,0.104,0.1333,0.6609,hematopoietic lineage restricted progenitor cell,0.7006236
spinal cord,Brain,4,Distant-Agreement,0.8762,0.533,0.229,0.8137,0.6868,0.3132,0.5333,0.1419,0.194,0.5462,central nervous system,0.8518019
stomach,Stomach,4,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,stomach,1.0
retina,Brain,4,Distant-Agreement,1.237,0.447,0.9648,0.509,0.4929,0.5071,0.4444,0.0226,0.0536,0.3807,nervous system,0.8723886
bronchoalveolar lavage fluid,Nasal Polyps,4,Disagreement,1.9746,0.3362,1.0353,0.4913,0.2224,0.7776,0.8889,0.0707,0.2143,0.1714,zone of organ,0.6966514
heart,Skeletal muscle,3,Distant-Agreement,1.3515,0.4253,1.4056,0.4157,0.5275,0.4725,0.7619,0.1302,0.2569,0.4447,dense mesenchyme tissue,0.75960463
monocytes,Monocytes,3,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,monocyte,1.0
rectum,Colon,2,Near-Agreement,0.756,0.5695,0.1013,0.908,0.9709,0.0291,1.0,0.4025,0.4483,0.9434,colon,0.8684862
urine,Esophagus,2,Disagreement,1.6731,0.3741,1.5188,0.397,0.1006,0.8994,0.4545,0.025,0.0798,0.0808,subdivision of tube,0.80116403
T cells,Bone marrow,2,Distant-Agreement,1.6443,0.3782,1.1989,0.4548,0.6627,0.3373,0.5,0.093,0.1647,0.6565,immune system,0.6872647
neutrophil,Monocytes,2,Near-Agreement,1.0284,0.493,0.7543,0.57,0.7227,0.2773,0.8182,0.2113,0.25,0.6005,myeloid leukocyte,0.84330523
occipital lobe,Brain,2,Distant-Agreement,0.8879,0.5297,0.7473,0.5723,0.5512,0.4488,0.4211,0.1162,0.1772,0.3805,brain,0.82114536
parathyroid gland,Thyroid,2,Distant-Agreement,0.7155,0.5829,0.8881,0.5296,0.4526,0.5474,0.6667,0.1533,0.1964,0.4509,endocrine system,0.87759984
temporal lobe,Brain,2,Distant-Agreement,0.8879,0.5297,0.9293,0.5183,0.564,0.436,0.4211,0.1617,0.2059,0.3928,brain,0.770261
dental plaque,Salivary gland,2,Distant-Agreement,0.9882,0.503,0.5083,0.663,0.408,0.592,0.7,0.3907,0.6613,0.3394,mouth,0.8221665
blood,Bone marrow,2,Near-Agreement,0.7085,0.5853,0.4373,0.6958,0.7688,0.2312,1.0,0.1117,0.2262,0.7511,hematopoietic system,0.7630035
salivary gland,Salivary gland,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,saliva-secreting gland,1.0
adrenal gland,Adrenal gland,2,Exact Match,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,adrenal gland,1.0
saliva,Esophagus,2,Disagreement,0.8857,0.5303,0.853,0.5397,0.1351,0.8649,0.5,0.1349,0.3514,0.1334,subdivision of tube,0.81429756
