pxd	run	source_parquet	tissue	confidence	tissue_2	confidence_2	tissue_3	confidence_3	tissue_4	confidence_4	tissue_5	confidence_5
PXD000013	VELOS02_01177	sample_nsaf_matrix.parquet	Bone marrow	0.1666	Spleen	0.089	Lung	0.0883	Monocytes	0.0674	Testis	0.0627
PXD000013	VELOS02_01178	sample_nsaf_matrix.parquet	Bone marrow	0.1877	Spleen	0.1001	Lung	0.0794	Monocytes	0.0661	Testis	0.0599
PXD000013	VELOS02_01179	sample_nsaf_matrix.parquet	Bone marrow	0.1719	Spleen	0.0945	Lung	0.0841	Testis	0.0676	Monocytes	0.0668
PXD000013	VELOS02_01180	sample_nsaf_matrix.parquet	Bone marrow	0.1963	Spleen	0.0888	Lung	0.0793	Monocytes	0.0656	Testis	0.0611
PXD000013	VELOS02_01182	sample_nsaf_matrix.parquet	Bone marrow	0.1708	Spleen	0.0948	Lung	0.0867	Monocytes	0.0678	Testis	0.0652
PXD000013	VELOS02_01184	sample_nsaf_matrix.parquet	Bone marrow	0.1807	Spleen	0.1006	Lung	0.0832	Monocytes	0.0754	Testis	0.0645
PXD000013	Velos02_02798	sample_nsaf_matrix.parquet	Bone marrow	0.1504	Lung	0.0902	Testis	0.075	Liver	0.0636	Monocytes	0.0512
PXD000013	velos004195	sample_nsaf_matrix.parquet	Spleen	0.1551	Monocytes	0.1465	Bone marrow	0.123	Lung	0.0642	Testis	0.0592
PXD000218	b1006p34_C2_gfp1	sample_nsaf_matrix.parquet	Bone marrow	0.1107	Kidney	0.0985	Monocytes	0.0973	Lung	0.0868	Testis	0.0701
PXD000218	b1006p34_C4_gfp3	sample_nsaf_matrix.parquet	Bone marrow	0.116	Ovary	0.093	Lung	0.0855	Heart	0.0748	Testis	0.0591
PXD000218	b1006p34_C5_gfp4	sample_nsaf_matrix.parquet	Bone marrow	0.1265	Lung	0.0775	Ovary	0.074	Monocytes	0.0728	Testis	0.0653
PXD000218	b1006p34_C6_gfp5	sample_nsaf_matrix.parquet	Bone marrow	0.1619	Lung	0.1019	Testis	0.0659	Kidney	0.0614	Monocytes	0.0496
PXD000218	b1006p34_CAL101_1	sample_nsaf_matrix.parquet	Bone marrow	0.1194	Lung	0.0846	Testis	0.0724	Kidney	0.0715	Ovary	0.0603
PXD000218	b1006p34_CAL101_2_gfp1	sample_nsaf_matrix.parquet	Bone marrow	0.1387	Monocytes	0.1041	Kidney	0.093	Lung	0.0911	Testis	0.0686
PXD000218	b1006p34_CAL101_4_gfp3	sample_nsaf_matrix.parquet	Bone marrow	0.1357	Testis	0.0877	Lung	0.0856	Monocytes	0.0818	Kidney	0.0567
PXD000218	b1006p34_CAL101_6_gfp5	sample_nsaf_matrix.parquet	Bone marrow	0.1834	Lung	0.0827	Appendix	0.0633	Testis	0.0604	Ovary	0.0541
PXD000218	b1006p34_GDC0941_1	sample_nsaf_matrix.parquet	Bone marrow	0.1137	Lung	0.0926	Testis	0.0825	Kidney	0.0672	Ovary	0.0642
PXD000218	b1006p34_GDC0941_2_gfp1	sample_nsaf_matrix.parquet	Bone marrow	0.1138	Lung	0.0916	Kidney	0.072	Testis	0.0708	Ovary	0.0521
PXD000218	b1006p34_GDC0941_3_gfp2	sample_nsaf_matrix.parquet	Bone marrow	0.1348	Lung	0.0687	Kidney	0.0624	Testis	0.0622	Appendix	0.0619
PXD000218	b1006p34_GDC0941_4_gfp3	sample_nsaf_matrix.parquet	Bone marrow	0.1226	Lung	0.1075	Testis	0.0718	Monocytes	0.0583	Ovary	0.058
PXD000218	b1006p34_GDC0941_5_gfp4	sample_nsaf_matrix.parquet	Bone marrow	0.1206	Monocytes	0.1094	Ovary	0.0745	Lung	0.0656	Kidney	0.0563
PXD000218	b1006p34_GDC0941_6_fgp5	sample_nsaf_matrix.parquet	Bone marrow	0.1562	Lung	0.0946	Testis	0.0601	Appendix	0.0518	Ovary	0.0477
PXD000218	b1006p35_C1	sample_nsaf_matrix.parquet	Bone marrow	0.1225	Monocytes	0.0973	Kidney	0.0862	Lung	0.0764	Testis	0.0699
PXD000218	b1006p35_C2_gfp1	sample_nsaf_matrix.parquet	Bone marrow	0.1324	Lung	0.0988	Testis	0.0889	Kidney	0.0837	Monocytes	0.0762
PXD000218	b1006p35_C3_gfp2	sample_nsaf_matrix.parquet	Bone marrow	0.114	Monocytes	0.0817	Testis	0.075	Lung	0.0694	Kidney	0.0608
PXD000218	b1006p35_C4_gfp3	sample_nsaf_matrix.parquet	Bone marrow	0.1507	Testis	0.1082	Monocytes	0.0868	Lung	0.0766	Kidney	0.0731
PXD000218	b1006p35_C5_gfp4	sample_nsaf_matrix.parquet	Bone marrow	0.1212	Monocytes	0.104	Lung	0.0952	Testis	0.081	Kidney	0.0694
PXD000218	b1006p35_C6_gfp5	sample_nsaf_matrix.parquet	Bone marrow	0.138	Lung	0.0842	Kidney	0.0807	Testis	0.0719	Monocytes	0.0716
PXD000218	b1006p35_CAL101_1	sample_nsaf_matrix.parquet	Bone marrow	0.1033	Monocytes	0.0948	Kidney	0.086	Testis	0.0796	Lung	0.0773
PXD000218	b1006p35_CAL101_2_gfp1	sample_nsaf_matrix.parquet	Bone marrow	0.1174	Lung	0.0976	Kidney	0.0899	Monocytes	0.0874	Testis	0.0796
PXD000218	b1006p35_CAL101_3_gfp2	sample_nsaf_matrix.parquet	Bone marrow	0.1098	Kidney	0.0795	Testis	0.0759	Monocytes	0.0726	Lung	0.0714
PXD000218	b1006p35_CAL101_4_gfp3	sample_nsaf_matrix.parquet	Bone marrow	0.1186	Kidney	0.0925	Monocytes	0.0859	Testis	0.0822	Lung	0.0809
PXD000218	b1006p35_CAL101_5_gfp4	sample_nsaf_matrix.parquet	Monocytes	0.1343	Bone marrow	0.0931	Lung	0.0823	Testis	0.0726	Kidney	0.0651
PXD000218	b1006p35_CAL101_6_gfp5	sample_nsaf_matrix.parquet	Bone marrow	0.1204	Lung	0.0894	Testis	0.0765	Kidney	0.0759	Monocytes	0.0754
PXD000218	b1006p35_GDC0941_1	sample_nsaf_matrix.parquet	Bone marrow	0.1264	Kidney	0.0937	Monocytes	0.0853	Testis	0.0778	Lung	0.0764
PXD000218	b1006p35_GDC0941_2_gfp1	sample_nsaf_matrix.parquet	Bone marrow	0.1234	Monocytes	0.1007	Lung	0.0999	Kidney	0.0864	Testis	0.0669
PXD000218	b1006p35_GDC0941_3_gfp2	sample_nsaf_matrix.parquet	Bone marrow	0.1099	Monocytes	0.0926	Kidney	0.0813	Lung	0.0764	Testis	0.069
PXD000218	b1006p35_GDC0941_4_gfp3	sample_nsaf_matrix.parquet	Bone marrow	0.1664	Monocytes	0.0972	Testis	0.0792	Lung	0.0659	Kidney	0.0657
PXD000218	b1006p35_GDC0941_5_gfp4	sample_nsaf_matrix.parquet	Monocytes	0.1223	Lung	0.0855	Bone marrow	0.0829	Testis	0.0675	Kidney	0.0649
PXD000218	b1006p35_GDC0941_6_fgp5	sample_nsaf_matrix.parquet	Bone marrow	0.1315	Lung	0.0877	Kidney	0.085	Monocytes	0.0703	Testis	0.0686
PXD000218	b1006p37_C1	sample_nsaf_matrix.parquet	Bone marrow	0.1897	Testis	0.0935	Lung	0.0652	Colon	0.0652	Monocytes	0.0552
PXD000218	b1006p37_C4_gfp3	sample_nsaf_matrix.parquet	Bone marrow	0.1983	Lung	0.0871	Testis	0.0742	Monocytes	0.0483	Brain	0.0462
PXD000218	b1006p37_C6	sample_nsaf_matrix.parquet	Bone marrow	0.2009	Testis	0.0824	Lung	0.0596	Kidney	0.0558	Stomach	0.052
PXD000218	b1006p37_CAL101_1	sample_nsaf_matrix.parquet	Bone marrow	0.1945	Lung	0.0737	Colon	0.0631	Testis	0.0542	Stomach	0.0525
PXD000218	b1006p37_CAL101_5_gfp4	sample_nsaf_matrix.parquet	Bone marrow	0.1825	Colon	0.0698	Testis	0.0698	Lung	0.0694	Stomach	0.0571
PXD000218	b1006p37_CAL101_6	sample_nsaf_matrix.parquet	Bone marrow	0.1871	Testis	0.0867	Lung	0.0715	Colon	0.0588	Stomach	0.0548
PXD000218	b1006p37_GDC0941_1	sample_nsaf_matrix.parquet	Bone marrow	0.1966	Lung	0.0817	Testis	0.0576	Monocytes	0.0565	Colon	0.0489
PXD000218	b1006p37_GDC0941_5_gfp4	sample_nsaf_matrix.parquet	Bone marrow	0.1422	Lung	0.0814	Testis	0.0625	Colon	0.0599	Stomach	0.0566
PXD000218	b1006p37_GDC0941_6	sample_nsaf_matrix.parquet	Bone marrow	0.2093	Lung	0.0914	Testis	0.0681	Kidney	0.0637	Monocytes	0.0582
PXD000218	b1006p42_C1	sample_nsaf_matrix.parquet	Bone marrow	0.168	Lung	0.092	Monocytes	0.0668	Testis	0.0653	Ovary	0.0562
PXD000218	b1006p42_C6	sample_nsaf_matrix.parquet	Bone marrow	0.1724	Lung	0.079	Testis	0.073	Colon	0.0632	Appendix	0.0505
PXD000218	b1006p42_CAL101_4_gfp3	sample_nsaf_matrix.parquet	Bone marrow	0.185	Lung	0.0907	Monocytes	0.0675	Testis	0.0633	Brain	0.0397
PXD000218	b1006p42_CAL101_5_gfp4	sample_nsaf_matrix.parquet	Bone marrow	0.1647	Colon	0.0735	Testis	0.0699	Lung	0.0672	Appendix	0.0455
PXD000218	b1006p42_CAL101_6	sample_nsaf_matrix.parquet	Bone marrow	0.1604	Lung	0.0772	Monocytes	0.0723	Testis	0.0649	Kidney	0.052
PXD000218	b1006p42_GDC0941_1	sample_nsaf_matrix.parquet	Bone marrow	0.116	Colon	0.0922	Ovary	0.0708	Appendix	0.0649	Stomach	0.054
PXD000218	b1006p42_GDC0941_5_gfp4	sample_nsaf_matrix.parquet	Bone marrow	0.1769	Stomach	0.0663	Lung	0.0646	Colon	0.0589	Testis	0.0583
PXD000218	b1006p42_GDC0941_6	sample_nsaf_matrix.parquet	Bone marrow	0.1379	Colon	0.0737	Lung	0.0695	Testis	0.064	Stomach	0.0629
PXD000412	R20111024_QE4_QC_COLLAB_078CALCG12FR2CPM01	sample_nsaf_matrix.parquet	Bone marrow	0.1715	Monocytes	0.1088	Salivary gland	0.1046	Testis	0.0595	Lung	0.057
PXD000412	R20111024_QE4_QC_COLLAB_079CALCG12PTCPM01	sample_nsaf_matrix.parquet	Bone marrow	0.2268	Monocytes	0.1136	Testis	0.0594	Salivary gland	0.0587	Lung	0.0574
PXD000412	R20111206_QE1_ChKe_COLLAB_082K-CALCFR2_01	sample_nsaf_matrix.parquet	Bone marrow	0.1552	Ovary	0.1304	Testis	0.0995	Lung	0.0777	Brain	0.0434
PXD000412	R20120217_06_Z31_ovicap_calc	sample_nsaf_matrix.parquet	Bone marrow	0.1769	Lung	0.0872	Testis	0.0819	Kidney	0.0477	Brain	0.0469
PXD000412	R20120217_07_Z33_cow_calc	sample_nsaf_matrix.parquet	Bone marrow	0.15	Lung	0.0951	Testis	0.0572	Smooth muscle	0.0489	Spleen	0.0468
PXD000412	R20120217_10_Z5_MAIR_calc	sample_nsaf_matrix.parquet	Salivary gland	0.4079	Bone marrow	0.1273	Lung	0.0551	Monocytes	0.0538	Testis	0.0358
