accession,title,pubmed_id,doi,license,submission_date,publication_date,organisms,organism_parts,diseases,instruments,experiment_types,quantification_methods,identified_ptms,raw_file_count,total_file_count
PXD000070,Plasmodium falciparum schizont phosphoproteome,24657495,10.6019/PXD000070,EBI terms of use,2012-11-15,2014-04-24,Plasmodium falciparum (isolate 3d7),,,LTQ Orbitrap Velos,Bottom-up proteomics,,monohydroxylated residue; phosphorylated residue; acetylated residue; iodoacetamide derivatized residue; deamidated residue,6,42
PXD000312,Mercury Uniquely Alters B-Cell Protein Phosphorylation Profiles,24224561,10.6019/PXD000312,EBI terms of use,2013-07-01,2013-12-10,Mus musculus (mouse),Blood; B cell; Wehi-231 cell,,LTQ,Bottom-up proteomics,,monohydroxylated residue; phosphorylated residue; deaminated residue; acetylated residue; iodoacetamide derivatized residue,30,115
PXD000534,Identification of novel biomarker candidates for the immunohistochemical diagnosis of cholangiocellular carcinoma - LC-MS Part,25034945,10.6019/PXD000534,EBI terms of use,2013-10-21,2014-07-21,Homo sapiens (human),Liver; Cholangioma cell; Hepatocyte,,LTQ Orbitrap,Bottom-up proteomics,,oxidation; S-carboxamidoethyl-L-cysteine,16,81
PXD000561,A draft map of the human proteome,24870542,,EBI terms of use,2014-02-25,2014-04-24,Homo sapiens (human),Heart; Blood platelet; Ovary; Monocyte; Urinary bladder; Frontal lobe; Lung; Placenta; Gall bladder; B-lymphocyte; Rectum; Cytotoxic t-lymphocyte; Spinal cord; Colon; Helper t-lymphocyte; Prostate gland; Retina; Pancreas; Liver; Adrenal gland; Gut; Kidney; Brain; Esophagus; Testis; Natural killer cell,,LTQ Orbitrap Elite; LTQ Orbitrap Velos,Bottom-up proteomics,,acetylated residue; L-methionine sulfoxide; iodoacetamide derivatized residue,1859,2384
PXD000651,"CSF proteome mapping: Human cerebrospinal fluid LC-MS/MS, Part 1",25038066,10.6019/PXD000651,EBI terms of use,2013-12-17,2014-08-04,Homo sapiens (human),Cerebrospinal fluid,,LTQ Orbitrap,Bottom-up proteomics,,monohydroxylated residue; acetylated residue; 2-pyrrolidone-5-carboxylic acid (Glu); 2-pyrrolidone-5-carboxylic acid (Gln); iodoacetamide derivatized amino-terminal residue,37,41
PXD000652,"CSF proteome mapping: Human cerebrospinal fluid LC-MS/MS, Part 2",25038066,10.6019/PXD000652,EBI terms of use,2013-12-18,2014-08-04,Homo sapiens (human),Cerebrospinal fluid,,LTQ Orbitrap,Bottom-up proteomics,,monohydroxylated residue; acetylated residue; 2-pyrrolidone-5-carboxylic acid (Gln); 2-pyrrolidone-5-carboxylic acid (Glu); iodoacetamide derivatized amino-terminal residue,46,50
PXD000999,DeMix:efficient identification of co-fragmented peptides,25100859,,EBI terms of use,2014-08-14,2014-08-14,Homo sapiens (human),Hela cell,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue,7,9
PXD001061,Uncovering Global SUMOylation Signaling Networks in a Site-Specific Manner,25218447,,EBI terms of use,2014-06-13,2014-09-04,Homo sapiens (human),Permanent cell line cell; Hela cell,Cervix carcinoma,Q Exactive,Affinity purification coupled with mass spectrometry proteomics,Label free,sumoylated lysine,32,34
PXD001281,Proteome-wide identification of SUMO2 modification sites,24782567,,EBI terms of use,2014-09-09,2014-10-15,Homo sapiens (human),Cell suspension culture; Hek-293 cell,,Q Exactive,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,,phosphorylated residue; iodoacetamide derivatized residue; ubiquitination signature dipeptidyl lysine,10,11
PXD001468,A mass-tolerant database search identifies a large proportion of unassigned spectra in shotgun proteomics as modified peptides,26076430,,EBI terms of use,2014-11-06,2015-06-03,Homo sapiens (human),Kidney; Brain,,Q Exactive,Shotgun proteomics,Peptide counting,monohydroxylated residue; farnesylated residue; carboxylated residue; acetylated residue; biotinylated residue; S-pyridylethyl-L-cysteine; carbamoylated residue; methylthiolated residue; homoserine; amidated residue; iodoacetic acid derivatized residue; iodoacetamide derivatized residue; sulfated residue; monomethylated residue; deamidated residue; homoserine lactone; phosphorylated residue; formylated residue; deaminated residue; dihydroxylated residue; monosodium salt; (R)-5-oxo-1; dehydrated residue,24,51
PXD001558,Cell-specific analysis of tumour-endothelial contact-intiated signalling,26861043,,EBI terms of use,2014-12-01,2016-02-12,Homo sapiens (human),,Breast cancer,LTQ Orbitrap Velos,Top-down proteomics,SILAC,No PTMs are included in the dataset,42,91
PXD001725,"A Protein Deep Sequencing Evaluation of Metastatic Melanoma Tissues, unfractionated approach",25874936,,EBI terms of use,2015-01-23,2015-04-17,Homo sapiens (human),Lymph node; Melanocyte,Metastatic melanoma,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset,30,61
PXD001819,yeast-UPS1 standard LC-MS/MS dataset,26862574,,EBI terms of use,2015-02-16,2015-12-01,Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human),Cell culture,,LTQ Orbitrap Velos,Shotgun proteomics,Protein Abundance Index - PAI; Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue,27,82
PXD001856,Comprehensive transcriptomic and proteomic characterization of human mesenchymal stem cells reveals source specific cellular markers,26857143,,EBI terms of use,2015-03-02,2016-02-09,Homo sapiens (human),Mesenchymal stem cell; Cell culture; Embryonic stem cell; Stem cell,,Q Exactive,Shotgun proteomics,SILAC,monohydroxylated residue; acetylated residue,108,109
PXD002029,"Comparative proteome stability analysis of snap frozen, RNAlater preserved, and formalin-fixed paraffin-embedded human colon mucosal biopsies",26937473,,EBI terms of use,2015-08-12,2015-11-23,Homo sapiens (human),Colonic mucosa; Colon sigmoideum,Disease free,Q Exactive,Shotgun proteomics,Label free; MS1 intensity based label-free quantification method,iodoacetamide derivatized residue,24,28
PXD002049,"CPTAC proteomic analysis of TCGA colon and rectal carcinomas using standard and customized databases, part 9",26110064,10.6019/PXD002049,EBI terms of use,2015-04-13,2015-06-13,Homo sapiens (human),Rectal cancer cell; Colonic cancer cell,Rectum adenocarcinoma; Colon adenocarcinoma,LTQ Orbitrap Velos,Shotgun proteomics,,Gln->pyro-Glu; Glu->pyro-Glu; Carbamidomethyl; Oxidation; Acetyl,150,751
PXD002080,"CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 1",25043054,10.6019/PXD002080,EBI terms of use,2015-04-20,2015-07-02,Homo sapiens (human),Rectal cancer cell; Colonic cancer cell,Rectum adenocarcinoma; Colon adenocarcinoma,LTQ Orbitrap Velos,Shotgun proteomics,,Gln->pyro-Glu; Glu->pyro-Glu; Deamidated; Carbamidomethyl; Oxidation,150,751
PXD002081,"CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 2",25043054,10.6019/PXD002081,EBI terms of use,2015-04-20,2015-07-14,Homo sapiens (human),Rectal cancer cell; Colonic cancer cell,Rectum adenocarcinoma; Colon adenocarcinoma,LTQ Orbitrap Velos,Shotgun proteomics,,Gln->pyro-Glu; Glu->pyro-Glu; Deamidated; Carbamidomethyl; Oxidation,150,751
PXD002082,"CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 3",25043054,10.6019/PXD002082,EBI terms of use,2015-04-20,2015-07-02,Homo sapiens (human),Rectal cancer cell; Colonic cancer cell,Rectum adenocarcinoma; Colon adenocarcinoma,LTQ Orbitrap Velos,Shotgun proteomics,,Gln->pyro-Glu; Glu->pyro-Glu; Deamidated; Carbamidomethyl; Oxidation,150,751
PXD002084,"CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 5",25043054,10.6019/PXD002084,EBI terms of use,2015-04-20,2015-07-06,Homo sapiens (human),Rectal cancer cell; Colonic cancer cell,Rectum adenocarcinoma; Colon adenocarcinoma,LTQ Orbitrap Velos,Shotgun proteomics,,Gln->pyro-Glu; Glu->pyro-Glu; Deamidated; Carbamidomethyl; Oxidation,150,751
PXD002086,"CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 7",25043054,10.6019/PXD002086,EBI terms of use,2015-04-20,2015-07-07,Homo sapiens (human),Rectal cancer cell; Colonic cancer cell,Rectum adenocarcinoma; Colon adenocarcinoma,LTQ Orbitrap Velos,Shotgun proteomics,,Gln->pyro-Glu; Glu->pyro-Glu; Deamidated; Carbamidomethyl; Oxidation,153,766
PXD002087,"CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue: Proteome, VU, part 8",25043054,10.6019/PXD002087,EBI terms of use,2015-04-20,2015-07-03,Homo sapiens (human),Rectal cancer cell; Colonic cancer cell,Rectum adenocarcinoma; Colon adenocarcinoma,LTQ Orbitrap Velos,Shotgun proteomics,,Gln->pyro-Glu; Glu->pyro-Glu; Deamidated; Carbamidomethyl; Oxidation,150,751
